timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
200543960,200543649,42042860,60.1877325,24.832678599999998,0.044576548,-0.9838985,-3.1123836,0.22263904,0.116216525,-4.172325e-07,-0.00035099263,-0.012577697,0.03175233,0.057414114,-0.025598146,0.051155806,0.014507944,-0.100163944,-0.15402685,-0.056240764,-2.181374,0.050064493,-0.004570925,0.0065030004,6.515291e-05,-9.697216,0.094623804,0.23995483,0.22704144,0.10834228,0.06463104,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
201044011,201043648,42042860,60.1877325,24.832678599999998,0.042442683,-0.9923727,-3.0843782,0.22263904,0.116216525,-4.172325e-07,-0.0015640971,-0.009784699,0.034592416,0.05818346,-0.025598146,0.051155806,0.014507944,-0.011438252,-0.0013194499,-0.19404384,-2.1809123,0.05006198,-0.004542303,0.0065030004,6.51633e-05,-9.697216,0.09177065,0.24031964,0.22769539,0.10838039,0.06468643,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
201543924,201543648,42042860,60.1877325,24.832678599999998,0.03622912,-0.9996703,-3.0570483,0.22263904,0.116216525,-4.172325e-07,-0.005840485,-0.009831246,0.038284812,0.05905839,-0.025598146,0.051155806,0.014507944,0.1671595,0.10340412,-0.18201265,-2.1803536,0.05006027,-0.0045063896,0.0065030004,6.516998e-05,-9.697216,0.08968973,0.24064963,0.22785829,0.10838556,0.064685464,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
202043934,202043647,42042860,60.1877325,24.832678599999998,0.031429157,-1.0023396,-3.0369442,0.22263904,0.116216525,-4.172325e-07,-0.010621289,-0.0047442564,0.038932435,0.051575728,-0.025598146,0.051155806,0.014507944,-0.16273911,0.17864509,0.2042716,-2.1800048,0.05005767,-0.0045459056,0.0065030004,6.5187436e-05,-9.697216,0.08534598,0.24098574,0.22801203,0.10842696,0.06468868,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
202543929,202543647,42042860,60.1877325,24.832678599999998,0.022270866,-1.0057089,-3.0179691,0.22263904,0.116216525,-4.172325e-07,-0.014165233,-0.0020863004,0.0399827,0.047947418,-0.025598146,0.051155806,0.014507944,-0.043349747,0.035112903,0.14800923,-2.1796174,0.050050642,-0.004560594,0.0065030004,6.518694e-05,-9.697216,0.08915973,0.24124667,0.22860225,0.10839271,0.06472805,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
203043938,203043647,42042860,60.1877325,24.832678599999998,0.012680149,-1.0094972,-2.9991772,0.22263904,0.116216525,-4.172325e-07,-0.015637364,0.000533521,0.03959461,0.04435438,-0.025598146,0.051155806,0.014507944,0.0101987915,-0.088997915,0.20982042,-2.1792617,0.050044402,-0.0046016746,0.0065030004,6.5208806e-05,-9.697216,0.090854645,0.24153174,0.22870535,0.10844299,0.064728454,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
203543927,203543648,42042860,60.1877325,24.832678599999998,0.0012751955,-1.016489,-2.9782622,0.22263904,0.116216525,-4.172325e-07,-0.016818905,0.000306003,0.04137735,0.045503873,-0.025598146,0.051155806,0.014507944,0.09268361,-0.07160776,-0.057969436,-2.1787026,0.05003747,-0.0046702963,0.0065030004,6.520185e-05,-9.697216,0.091094494,0.24173872,0.22876604,0.10838021,0.06471113,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
204043934,204043648,42042860,60.1877325,24.832678599999998,-0.010901091,-1.0167024,-2.9527545,0.22263904,0.116216525,-4.172325e-07,-0.027035614,0.006963702,0.04412927,0.05122399,-0.025598146,0.051155806,0.014507944,-0.39920416,0.7389642,0.85720104,-2.1782355,0.050029796,-0.0046034674,0.0065030004,6.522401e-05,-9.697216,0.09567666,0.24203381,0.22936504,0.10844225,0.06476602,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
204543926,204543647,42042860,60.1877325,24.832678599999998,-0.020742381,-1.0058135,-2.922802,0.22263904,0.116216525,-4.172325e-07,-0.029290035,0.013128033,0.039448943,0.049472455,-0.025598146,0.051155806,0.014507944,-0.026831854,1.5015124,-2.7646415,-2.1784072,0.050008375,-0.0046705846,0.0065030004,6.5246146e-05,-9.697216,0.09257078,0.2422872,0.2294667,0.10850239,0.06476393,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,0,0,0
205043926,205043648,42042860,60.1877325,24.832678599999998,-0.022341106,-1.0081,-2.903078,0.22263904,0.116216525,-4.172325e-07,-0.02819106,0.013149196,0.025366561,0.03159663,-0.025598146,0.051155806,0.014507944,-3.2170556,0.62149924,-0.20613539,-2.1780052,0.04998366,-0.004686275,0.0065030004,6.526688e-05,-9.697216,0.09050965,0.24251474,0.22953866,0.108572416,0.06475852,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,0,0,0
205543955,205543648,42042860,60.1877325,24.832678599999998,-0.004355336,-1.0221529,-2.912433,0.22263904,0.116216525,-4.172325e-07,0.11297345,-0.054899562,-0.075788505,-0.076959826,-0.025598146,0.051155806,0.014507944,1.1170923,0.23885523,-2.3214521,-2.1725817,0.049931467,0.00045673267,0.0065030004,6.525246e-05,-9.697216,0.106036186,0.24273595,0.22960648,0.109005705,0.06475341,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,0,0,0
206043925,206043648,42042860,60.1877325,24.832678599999998,0.086201765,-1.0566666,-3.0294323,0.22263904,0.116216525,-4.172325e-07,0.19472672,-0.03295239,-0.35786977,-0.35797024,-0.025598146,0.051155806,0.014507944,-0.9124069,0.25572518,-0.83029795,-2.104455,0.04719683,0.062946245,0.0065030004,6.4972264e-05,-9.697216,0.22303557,0.24290155,0.23014656,0.114542134,0.064792134,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,0,0,0
207043963,207043648,42042860,60.1877325,24.832678599999998,0.19100502,-1.0339046,-3.5782976,0.22263904,0.116216525,-4.172325e-07,-0.06616681,0.04993637,-0.79421645,-0.77495325,-0.025598146,0.051155806,0.014507944,1.0983319,1.3029547,-2.4977143,-2.0474792,0.04171905,0.108663395,0.0065030004,6.4083724e-05,-9.697216,0.7719009,0.24328934,0.23014699,0.11202575,0.06477182,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,0,0,0
207543929,207543648,42042860,60.1877325,24.832678599999998,0.13422745,-1.0307487,-3.9943113,0.22263904,0.116216525,-4.172325e-07,-0.17092581,0.05689223,-0.9501576,-0.9247169,-0.025598146,0.051155806,0.014507944,1.8583006,0.007661148,-2.2736843,-2.0664167,0.037710488,0.080097005,0.0065030004,6.3561776e-05,-9.697216,1.1879146,0.24347852,0.23060815,0.114414245,0.06482279,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,0,0,0
208043926,208043647,42042860,60.1877325,24.832678599999998,0.04347648,-1.0113642,-4.4928617,0.22263904,0.116216525,-4.172325e-07,-0.17772432,0.07562856,-1.0983517,-1.0716119,-0.025598146,0.051155806,0.014507944,-1.8468165,0.39641097,0.3846326,-2.1383767,0.034033947,-0.0015996962,0.0065030004,6.3400046e-05,-9.697216,1.686465,0.24375886,0.23058511,0.11471074,0.06484708,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,0,0,0
208543928,208543648,42042860,60.1877325,24.832678599999998,-0.0053879917,-0.9978034,-5.0516176,0.22263904,0.116216525,-4.172325e-07,-0.09118806,-0.018568441,-1.1737128,-1.1519302,-0.025598146,0.051155806,0.014507944,-0.28891826,2.8422012,-3.2799733,-2.2162771,0.06621367,-0.049944874,-0.03642802,6.330411e-05,-9.697216,2.245221,0.24403791,0.23054728,0.11187452,0.06486492,inf,inf,inf,inf,1,1,1,1,3,2,3,2,3,0,1,1,0,0,0
209043923,209043648,42042860,60.1877325,24.832678599999998,-0.09004139,-1.0661212,-5.6613717,0.22263904,0.116216525,-4.172325e-07,-0.28171176,-0.3334158,-1.2486461,-1.2440411,-0.025598146,0.051155806,0.014507944,0.40019402,-0.84540814,1.9111348,-2.1995628,0.060404032,-0.041085348,-0.03642802,6.345288e-05,-9.697216,2.854975,0.24429673,0.23098823,0.12114484,0.06494033,inf,inf,inf,inf,1,1,1,1,3,2,3,2,3,0,1,1,0,0,0
209543954,209543648,42042860,60.1877325,24.832678599999998,-0.29621434,-1.3547202,-6.3399477,0.22263904,0.116216525,-4.172325e-07,-0.5711293,-0.8154405,-1.3653293,-1.3784393,-0.025598146,0.051155806,0.014507944,-3.235452,0.45538637,1.4620019,-2.093827,0.036958475,0.037717618,-0.03642802,6.4420674e-05,-9.697216,3.533551,0.24451962,0.2309103,0.15345497,0.06499688,inf,inf,inf,inf,1,1,1,1,3,2,3,2,3,1,1,1,0,0,0
210043923,210043648,42042860,60.1877325,24.832678599999998,-0.6493864,-1.921096,-7.0551233,0.22263904,0.116216525,-4.172325e-07,-0.8903551,-1.4347115,-1.4174474,-1.439224,-0.025598146,0.051155806,0.014507944,2.343288,1.4958451,0.81682855,-1.9962904,0.016496576,0.1278267,-0.03642802,6.608309e-05,-9.697216,4.248727,0.24478097,0.23082252,0.15864217,0.06507286,inf,inf,inf,inf,1,1,1,1,3,2,3,2,3,1,1,1,0,0,0
210543962,210543647,42042860,60.1877325,24.832678599999998,-1.1692191,-2.7838364,-7.8023243,0.22263904,0.116216525,-4.172325e-07,-1.1843047,-1.9899167,-1.4306896,-1.4643556,-0.025598146,0.051155806,0.014507944,-2.4970553,-0.86844164,0.8206183,-1.996785,0.007947592,0.122562975,-0.03642802,6.769149e-05,-9.697216,4.995928,0.24501096,0.23070157,0.14834087,0.065164916,inf,inf,inf,inf,1,1,1,1,3,2,3,2,3,1,1,1,0,0,0
