timestamp,timestamp_sample,device_id,bias,bias_var,innov,innov_var,innov_test_ratio
236984153,236786283,6780433,6.265341,0.115720995,-0.17140818,12.421437,0.0002628141
237503982,237305889,6780433,6.257078,0.11572575,-0.16887808,12.421566,0.00025511012
238023989,237825483,6780433,6.247039,0.11572979,-0.23712492,12.421694,0.00050295726
238283988,238085309,6780433,6.2359266,0.1157315,-0.26553535,12.420993,0.0006307335
238993978,238799733,6780433,6.2454133,0.115651876,0.45429707,12.420784,0.0018462408
239383979,239189475,6780433,6.248598,0.11565365,-0.24762774,12.420493,0.00054855127
239774194,239579133,6780433,6.2518716,0.11565508,0.14582348,12.420211,0.00019023193
240363987,240163682,6780433,6.252004,0.11574068,0.07886362,12.419958,5.564047e-05
240874002,240683303,6780433,6.2529387,0.115584955,-0.12555742,12.419747,0.00014103585
241463979,241267833,6780433,6.2560506,0.11568117,0.17870474,12.419528,0.0002857094
241914153,241722483,6780433,6.2609477,0.115605764,0.15052748,12.420046,0.00020270565
242433979,242242090,6780433,6.275302,0.11561382,0.20602894,12.420179,0.00037973977
242893981,242696745,6780433,6.28285,0.11570361,0.17315865,12.419526,0.00026825067
243473978,243281284,6780433,6.289521,0.11562649,0.15782022,12.418929,0.00022284283
243994152,243800889,6780433,6.301304,0.115631305,0.28531647,12.419058,0.00072832045
244513990,244320488,6780433,6.338127,0.11563535,0.2750578,12.419183,0.00067688106
245034174,244840089,6780433,6.3631377,0.115638636,0.29737043,12.418907,0.00079116976
245813977,245619484,6780433,6.3879642,0.115642615,0.26049376,12.418737,0.00060712016
246534171,246333933,6780433,6.3955784,0.11572904,0.14653349,12.418508,0.00019211526
246983977,246788609,6780433,6.40279,0.115649775,-0.1141448,12.417919,0.00011657916
248023985,247827805,6780433,6.407889,0.11567301,0.21308374,12.418255,0.0004062539
248473983,248282453,6780433,6.4126,0.11559726,-0.16175318,12.4173,0.00023411862
248863979,248672132,6780433,6.416817,0.11560328,0.17516279,12.417059,0.00027455064
249513985,249321633,6780433,6.4219065,0.115611866,0.17952967,12.4176445,0.000288397
250034265,249841255,6780433,6.4314995,0.11561746,0.18970633,12.417433,0.00032202477
250494152,250295889,6780433,6.446681,0.11570546,0.3607478,12.417224,0.0011645023
251013978,250815482,6780433,6.473375,0.115709536,0.5474882,12.417401,0.0026821084
251533978,251335090,6780433,6.504837,0.11571313,0.2915187,12.417592,0.0007604189
251983983,251789733,6780433,6.530818,0.115632005,0.38394928,12.416657,0.0013191693
252504166,252309371,6780433,6.561592,0.115634486,0.499712,12.416868,0.0022345237
253023980,252828934,6780433,6.5893803,0.1156366,0.47351837,12.417105,0.002006369
253473978,253283615,6780433,6.60186,0.115555994,0.2115941,12.416232,0.00040065893
253934509,253738266,6780433,6.6143355,0.1156512,0.26188135,12.416822,0.0006137001
254514013,254322806,6780433,6.6254764,0.115580246,0.2896099,12.41683,0.00075053953
254903979,254712498,6780433,6.632506,0.115587525,0.14529514,12.416709,0.00018890922
255493983,255297032,6780433,6.641319,0.1156809,0.15926838,12.416727,0.00022699144
256013978,255816633,6780433,6.652914,0.1156882,0.19586515,12.417114,0.00034328212
256534182,256336257,6780433,6.6759286,0.11569465,0.3795786,12.417238,0.0012892464
257504157,257310483,6780433,6.714987,0.11562134,0.19569635,12.417918,0.0003426685
258023981,257830089,6780433,6.7180867,0.115626074,0.17753315,12.418312,0.00028200308
258483985,258284733,6780433,6.7276583,0.115713365,0.13146544,12.41788,0.00015464405
259004167,258804373,6780433,6.7372,0.115716934,0.16765356,12.418265,0.0002514908
259523979,259323932,6780433,6.7605433,0.11572016,0.5253358,12.418628,0.0024692093
259903987,259713632,6780433,6.772826,0.11555644,0.081240654,12.41815,5.905374e-05
260493977,260298183,6780433,6.778947,0.11565578,0.11179638,12.418119,0.000111829686
261013984,260817804,6780433,6.807171,0.11566749,0.8375106,12.418411,0.006275843
261534166,261337383,6780433,6.829049,0.11567767,0.2785139,12.418279,0.0006940486
261984007,261792033,6780433,6.8439345,0.11560162,0.13604069,12.417803,0.00016559621
262503981,262311633,6780433,6.8564157,0.11560907,0.17322922,12.418053,0.00026850123
263023985,262831260,6780433,6.8638854,0.11561559,0.28845692,12.418303,0.00074448704
263483979,263285889,6780433,6.8787107,0.11570414,0.33456516,12.417767,0.0010015564
264003987,263805482,6780433,6.896213,0.11570889,0.3412285,12.418028,0.0010418264
264523987,264325088,6780433,6.9203596,0.11571305,0.13033915,12.418294,0.00015200059
264973978,264779733,6780433,6.940405,0.11563248,0.3305974,12.417446,0.0009779667
265493982,265299393,6780433,6.960203,0.115635544,0.5109949,12.417737,0.0023364052
266014163,265818933,6780433,6.9921618,0.11563818,0.4751997,12.418037,0.0020204906
266534176,266338532,6780433,7.0305643,0.115643546,0.4285617,12.417942,0.0016433671
266983979,266793183,6780433,7.058045,0.11557157,0.39467382,12.417528,0.0013937952
267503985,267312805,6780433,7.081726,0.11558309,0.2631135,12.417853,0.00061943714
267893980,267702483,6780433,7.0972643,0.11559077,0.15948153,12.417738,0.00022758087
268483980,268287034,6780433,7.1127,0.115684465,0.3606801,12.417723,0.0011640185
269003978,268806633,6780433,7.1315904,0.115691975,0.47686386,12.418033,0.0020346679
269523977,269326256,6780433,7.1524663,0.115698546,0.31913662,12.41834,0.0009112703
269973983,269780889,6780433,7.169127,0.11561973,0.1788063,12.41752,0.00028608053
270493983,270300491,6780433,7.181749,0.11562464,0.15812016,12.417819,0.00022371064
271014151,270820089,6780433,7.1954365,0.115628876,0.21645689,12.418116,0.00041922255
271993974,271794386,6780433,7.2271905,0.11571908,0.21405888,12.417915,0.0004099919
272514009,272313932,6780433,7.2510614,0.115721755,0.25804377,12.418224,0.00059577834
273024188,272833533,6780433,7.271859,0.115561284,0.43629503,12.418195,0.0017031761
274003982,273807805,6780433,7.3075905,0.1156684,0.13594675,12.4185705,0.00016535737
274524147,274327383,6780433,7.3146534,0.115678735,0.1709919,12.4191,0.00026158837
274783987,274587184,6780433,7.314572,0.11568338,0.0939002,12.418787,7.888808e-05
275363978,275171746,6780433,7.310938,0.11560917,-0.15519285,12.418791,0.00021548726
275954165,275756282,6780433,7.302406,0.11570125,-0.1781044,12.419319,0.0002837978
276534172,276340833,6780433,7.2970295,0.11562514,-0.1795435,12.420582,0.00028837324
276993980,276795483,6780433,7.2862716,0.11571417,-0.35709095,12.420761,0.0011406882
