timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
201042543,200842092,0.016609283,0.035769697,0.004227498,1,0,0,0,0,0,0,0,0,0,0
202042574,201842075,0.015858449,0.034696635,0.0042358576,1,0,0,0,0,0,0,0,0,0,0
203042591,202842099,0.014703547,0.033874605,0.005079233,1,0,0,0,0,0,0,0,0,0,0
204042543,203842861,0.014197701,0.03632139,0.0065092733,1,0,0,0,0,0,0,0,0,0,0
205042574,204842085,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
206042552,205842070,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
207042592,206842861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
208042522,207842079,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
209042530,208842080,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
210042495,209842063,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
212032721,211841340,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
213042606,212842075,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
214042499,213842063,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
215032777,214838977,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
216032722,215839862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
217032744,216839863,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
218032724,217837427,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
219032577,218841081,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
220032580,219839862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
221042733,220842076,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
222042727,221843867,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
223042725,222842862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
224042700,223842066,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
225042731,224842863,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
226032608,225841096,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
227042755,226842078,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
228042697,227842860,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
229042556,228843862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
230042526,229842861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
231042613,230843862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
232042582,231843861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
233032570,232841111,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
235042530,234842080,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
236042528,235842061,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
237042595,236842861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
238042533,237842861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
239042592,238842863,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
240042501,239844862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
241042537,240842867,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
242042499,241842866,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
243042541,242842860,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
244042545,243842058,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
245042616,244842089,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
246042522,245842870,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
247042532,246843863,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
248032538,247841129,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
