timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
1050935,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,1,1,0,0
354142681,0.0,0.0,2.0,0.0,0.0,0.0,0.0,208,1,1,161,1,0,0
