timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
200397024,200396730,-0.4579347,0.011637661,-0.01295381,0.8888153,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200402042,200401729,-0.45794737,0.011630348,-0.01294404,0.888809,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200407062,200406729,-0.4579631,0.011622647,-0.012940808,0.88880104,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200412032,200411730,-0.45798418,0.011609808,-0.012940318,0.8887903,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200417023,200416730,-0.45800364,0.011597396,-0.012952497,0.8887804,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200422022,200421730,-0.45801544,0.01159164,-0.012957937,0.88877416,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200427023,200426730,-0.45802587,0.011595958,-0.012972829,0.88876855,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200432034,200431730,-0.45802417,0.011599319,-0.012981416,0.8887694,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200437023,200436731,-0.45800886,0.011601236,-0.0129747,0.8887773,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200442127,200441730,-0.45799306,0.011601773,-0.012962993,0.8887855,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200447050,200446730,-0.457975,0.011603717,-0.012952623,0.88879496,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200452079,200451731,-0.4579553,0.01160512,-0.012944924,0.8888053,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200457028,200456730,-0.4579388,0.011612034,-0.012951295,0.8888136,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200462019,200461729,-0.45792452,0.0116170645,-0.012961534,0.88882077,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200467027,200466730,-0.4579243,0.011613374,-0.012962993,0.88882077,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200472079,200471730,-0.4579366,0.011609505,-0.012966505,0.88881445,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200477047,200476729,-0.4579592,0.0116084,-0.012963272,0.8888029,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200482017,200481729,-0.45798078,0.011598476,-0.012961172,0.88879204,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200487022,200486730,-0.4580077,0.011609234,-0.012967159,0.88877785,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200492038,200491730,-0.45803365,0.011612137,-0.01297215,0.8887644,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200497076,200496753,-0.45803994,0.011614436,-0.012961943,0.8887613,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200502051,200501730,-0.45804536,0.011619988,-0.012964247,0.88875836,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200507033,200506730,-0.458033,0.011623313,-0.012964528,0.8887647,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200512032,200511730,-0.45801482,0.011623896,-0.012979649,0.8887738,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200517022,200516732,-0.4579852,0.011620867,-0.0129821915,0.8887891,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200522018,200521729,-0.45796213,0.011606533,-0.012990567,0.8888011,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200527019,200526730,-0.4579426,0.011598483,-0.012983156,0.88881135,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200532031,200531729,-0.45793352,0.011593186,-0.012977191,0.8888162,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200537022,200536729,-0.45794597,0.011589157,-0.012994781,0.88880956,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200542043,200541729,-0.45795256,0.01159817,-0.012991379,0.8888061,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200547063,200546730,-0.45797122,0.011599264,-0.012987124,0.8887965,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200552034,200551729,-0.45798662,0.011608458,-0.012982555,0.8887885,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200557034,200556730,-0.45800847,0.011620711,-0.012974004,0.8887772,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200562019,200561729,-0.45802495,0.01163024,-0.012982733,0.88876855,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200567047,200566730,-0.45803103,0.011633609,-0.012992208,0.8887651,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200572098,200571730,-0.4580305,0.011626124,-0.012992032,0.88876563,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
