timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
201004373,201004229,3407898,-0.01699531,0.038953483,-0.00901809,22.584541,0,0,0,0,8
202004355,202004230,3407898,-0.045456834,-0.03205044,-0.009659265,22.493961,0,0,0,0,8
203004371,203004229,3407898,0.009101359,0.029910414,-0.0011241386,22.531702,0,0,0,0,8
204004356,204004230,3407898,-0.053517323,0.07936418,0.03680513,22.705315,0,0,0,0,8
205004371,205004230,3407898,-0.0016404096,-0.16578962,0.0555491,22.660025,0,0,0,0,8
206004355,206004229,3407898,-0.43077824,-0.27329892,0.197915,22.584541,0,0,0,0,8
207004371,207004229,3407898,-0.036247224,-0.049545366,0.083327815,22.652475,0,0,0,0,8
208004349,208004230,3407898,0.27053553,0.099742614,-0.16770007,22.679434,0,0,0,0,7
209004371,209004229,3407898,-0.0732522,-0.12637816,0.09658432,22.584541,0,0,0,0,8
210004406,210004273,3407898,-0.23835067,-0.08776238,0.08257376,22.564413,0,0,0,0,9
212004360,212004229,3407898,-0.2156431,-0.25350574,0.060287137,22.614735,0,0,0,0,8
213004371,213004229,3407898,0.020234494,-0.25734445,-0.17601512,22.569445,0,0,0,0,8
214004358,214004229,3407898,-0.50029993,0.05450823,-0.0011824273,22.682669,0,0,0,0,8
215004371,215004229,3407898,-0.3130601,-0.00825201,0.102662995,22.682669,0,0,0,0,8
216004356,216004229,3407898,-0.20510116,-0.32260278,0.22304575,22.705315,0,0,0,0,8
217004364,217004229,3407898,-0.004472763,0.8206283,0.0920723,22.524155,0,0,0,0,7
218004354,218004229,3407898,0.24248086,-0.21217908,-0.21167113,22.637379,0,0,0,0,8
219004370,219004229,3407898,0.26336485,-1.1868238,0.011582791,22.629831,0,0,0,0,8
220004400,220004274,3407898,-0.16450727,0.33127114,0.051060874,22.644928,0,0,0,0,8
221004370,221004229,3407898,-0.49183977,0.2832746,0.2397746,22.599638,0,0,0,0,8
222004359,222004229,3407898,0.40079287,-0.73756814,0.051568817,22.599638,0,0,0,0,8
223004371,223004229,3407898,-4.9961716e-05,0.26433077,0.017444964,22.524155,0,0,0,0,8
224004354,224004229,3407898,0.042042784,-0.049711905,-0.13268165,22.599638,0,0,0,0,8
225004371,225004229,3407898,0.24018261,-0.21418586,0.1271359,22.644928,0,0,0,0,8
226004356,226004230,3407898,-0.29577336,0.21327823,0.16918702,22.644928,0,0,0,0,8
227004372,227004229,3407898,0.1586451,0.42701444,-0.2407322,22.735508,0,0,0,0,8
228004355,228004229,3407898,0.3391068,0.121065564,0.100781105,22.524155,0,0,0,0,8
229004371,229004230,3407898,0.40943626,0.8771112,-0.23712662,22.463768,0,0,0,0,8
