timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
200066838,0.0,0.0,0.0,0.0
200068081,0.0,0.0,0.0,0.0
200086826,0.0,0.0,0.0,0.0
200226827,0.0,0.0,0.0,0.0
200246829,0.0,0.0,0.0,0.0
200266826,0.0,0.0,0.0,0.0
200286827,0.0,0.0,0.0,0.0
200306827,0.0,0.0,0.0,0.0
200326826,0.0,0.0,0.0,0.0
200346829,0.0,0.0,0.0,0.0
200386831,0.0,0.0,0.0,0.0
200406827,0.0,0.0,0.0,0.0
200426826,0.0,0.0,0.0,0.0
200446830,0.0,0.0,0.0,0.0
200466827,0.0,0.0,0.0,0.0
200486827,0.0,0.0,0.0,0.0
200506826,0.0,0.0,0.0,0.0
200526828,0.0,0.0,0.0,0.0
200546827,0.0,0.0,0.0,0.0
200566826,0.0,0.0,0.0,0.0
200586828,0.0,0.0,0.0,0.0
200606827,0.0,0.0,0.0,0.0
200626827,0.0,0.0,0.0,0.0
200646827,0.0,0.0,0.0,0.0
200666829,0.0,0.0,0.0,0.0
200686827,0.0,0.0,0.0,0.0
200706827,0.0,0.0,0.0,0.0
200726827,0.0,0.0,0.0,0.0
200746829,0.0,0.0,0.0,0.0
200766827,0.0,0.0,0.0,0.0
200786827,0.0,0.0,0.0,0.0
200806829,0.0,0.0,0.0,0.0
200826827,0.0,0.0,0.0,0.0
200846829,0.0,0.0,0.0,0.0
200866829,0.0,0.0,0.0,0.0
200886827,0.0,0.0,0.0,0.0
200906827,0.0,0.0,0.0,0.0
200926827,0.0,0.0,0.0,0.0
200946830,0.0,0.0,0.0,0.0
200966829,0.0,0.0,0.0,0.0
200986828,0.0,0.0,0.0,0.0
201006825,0.0,0.0,0.0,0.0
201026824,0.0,0.0,0.0,0.0
201046824,0.0,0.0,0.0,0.0
201066826,0.0,0.0,0.0,0.0
201086825,0.0,0.0,0.0,0.0
201106825,0.0,0.0,0.0,0.0
201126824,0.0,0.0,0.0,0.0
201146827,0.0,0.0,0.0,0.0
201166825,0.0,0.0,0.0,0.0
201186826,0.0,0.0,0.0,0.0
201206823,0.0,0.0,0.0,0.0
201226824,0.0,0.0,0.0,0.0
201246826,0.0,0.0,0.0,0.0
201266824,0.0,0.0,0.0,0.0
201286823,0.0,0.0,0.0,0.0
201306828,0.0,0.0,0.0,0.0
201326823,0.0,0.0,0.0,0.0
201346824,0.0,0.0,0.0,0.0
201366824,0.0,0.0,0.0,0.0
201386824,0.0,0.0,0.0,0.0
201406826,0.0,0.0,0.0,0.0
201426825,0.0,0.0,0.0,0.0
201446825,0.0,0.0,0.0,0.0
201466826,0.0,0.0,0.0,0.0
201486824,0.0,0.0,0.0,0.0
201506824,0.0,0.0,0.0,0.0
201526824,0.0,0.0,0.0,0.0
201546824,0.0,0.0,0.0,0.0
201566826,0.0,0.0,0.0,0.0
201586826,0.0,0.0,0.0,0.0
201606825,0.0,0.0,0.0,0.0
201626827,0.0,0.0,0.0,0.0
201646823,0.0,0.0,0.0,0.0
201666832,0.0,0.0,0.0,0.0
201686824,0.0,0.0,0.0,0.0
201706824,0.0,0.0,0.0,0.0
201726824,0.0,0.0,0.0,0.0
201746828,0.0,0.0,0.0,0.0
201766824,0.0,0.0,0.0,0.0
201786824,0.0,0.0,0.0,0.0
201806833,0.0,0.0,0.0,0.0
201826825,0.0,0.0,0.0,0.0
201846825,0.0,0.0,0.0,0.0
201866823,0.0,0.0,0.0,0.0
201886824,0.0,0.0,0.0,0.0
201906824,0.0,0.0,0.0,0.0
201926824,0.0,0.0,0.0,0.0
201946833,0.0,0.0,0.0,0.0
201966824,0.0,0.0,0.0,0.0
201986825,0.0,0.0,0.0,0.0
202006825,0.0,0.0,0.0,0.0
202026824,0.0,0.0,0.0,0.0
202045575,0.0,0.0,0.0,0.0
202066827,0.0,0.0,0.0,0.0
202086834,0.0,0.0,0.0,0.0
202106824,0.0,0.0,0.0,0.0
202126824,0.0,0.0,0.0,0.0
202146826,0.0,0.0,0.0,0.0
202166826,0.0,0.0,0.0,0.0
202186825,0.0,0.0,0.0,0.0
202206825,0.0,0.0,0.0,0.0
202226831,0.0,0.0,0.0,0.0
202246824,0.0,0.0,0.0,0.0
202266826,0.0,0.0,0.0,0.0
202286824,0.0,0.0,0.0,0.0
202306825,0.0,0.0,0.0,0.0
202326824,0.0,0.0,0.0,0.0
202346824,0.0,0.0,0.0,0.0
202366831,0.0,0.0,0.0,0.0
202386825,0.0,0.0,0.0,0.0
202406824,0.0,0.0,0.0,0.0
202426825,0.0,0.0,0.0,0.0
202446828,0.0,0.0,0.0,0.0
202466824,0.0,0.0,0.0,0.0
202486825,0.0,0.0,0.0,0.0
202506831,0.0,0.0,0.0,0.0
202526825,0.0,0.0,0.0,0.0
202546827,0.0,0.0,0.0,0.0
202566825,0.0,0.0,0.0,0.0
202586824,0.0,0.0,0.0,0.0
202606825,0.0,0.0,0.0,0.0
202626829,0.0,0.0,0.0,0.0
202646831,0.0,0.0,0.0,0.0
202666825,0.0,0.0,0.0,0.0
202686825,0.0,0.0,0.0,0.0
202706824,0.0,0.0,0.0,0.0
202726824,0.0,0.0,0.0,0.0
202746826,0.0,0.0,0.0,0.0
202766826,0.0,0.0,0.0,0.0
202786832,0.0,0.0,0.0,0.0
202806826,0.0,0.0,0.0,0.0
202826824,0.0,0.0,0.0,0.0
202846827,0.0,0.0,0.0,0.0
202866826,0.0,0.0,0.0,0.0
202886825,0.0,0.0,0.0,0.0
202906824,0.0,0.0,0.0,0.0
202926825,0.0,0.0,0.0,0.0
