timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
218032725,217841729,-1.97392,0.0055748774,-1.9781268,-1.9624605,-1.9270219,-2.3059738,-2.0016732,0.12739486,0.12929362,0.13371259,0.09187503,0.1245502,0.1776715,0.1766552,0.17445666,0.20553312,0.17926966,0.7107196,0.28099176,2.0244008e-05,5.773198e-06,0.008262535,1
219032578,218841729,-1.958113,0.0039947145,-1.9614105,-1.9499938,-1.9238098,-2.2040734,-1.9787511,0.18633235,0.18526563,0.18279216,0.20788053,0.18796313,-0.026461005,-0.02608037,-0.025289655,-0.037127256,-0.02703619,0.6931273,0.29991737,5.5853056e-05,4.0323448e-05,0.0068591777,1
220032582,219841729,-1.9636469,0.0039532897,-1.966916,-1.9556494,-1.930296,-2.2044728,-1.9837809,-0.009976685,-0.010196269,-0.010718882,-0.0061544776,-0.009635866,0.09001267,0.09036064,0.091115,0.082321286,0.08950567,0.6923434,0.30077556,5.640757e-05,3.0504805e-05,0.006794092,1
221032364,220841729,-1.970657,0.003981829,-1.9754527,-1.9644214,-1.9391271,-2.2099166,-1.9922029,0.011895478,0.0101340115,0.0060564578,0.047819883,0.014582038,-0.015044153,-0.014528275,-0.013461709,-0.030256152,-0.015834332,0.69343305,0.29962626,5.547384e-05,3.1687465e-05,0.0068535777,1
222032307,221841729,-1.9231552,0.0038227022,-1.9223485,-1.912049,-1.8884076,-2.1415575,-1.9379975,-0.062284127,-0.06320827,-0.0653535,-0.04358605,-0.060870223,-0.12182009,-0.12143186,-0.1206153,-0.1320382,-0.122400254,0.6918108,0.30138776,5.640926e-05,1.657196e-05,0.00672851,1
223032317,222841729,-1.9430516,0.0038830785,-1.9526734,-1.9423263,-1.9190826,-2.170806,-1.9681355,-0.11146132,-0.11090483,-0.10960145,-0.121560395,-0.11228266,-0.0033705235,-0.0040293187,-0.0054995865,0.0118331015,-0.0023620129,0.6909883,0.3022606,5.705143e-05,1.4496418e-05,0.0066795507,1
224032278,223841729,-1.906875,0.0039458363,-1.9080455,-1.8978926,-1.8745798,-2.1241713,-1.9234743,0.10363922,0.10389138,0.10444869,0.09712897,0.103258274,-0.08326545,-0.082732454,-0.08154723,-0.09364015,-0.08403799,0.6920122,0.30117536,5.6139786e-05,1.552955e-05,0.006740661,1
225032340,224841729,-1.9912045,0.0040239836,-2.0006773,-1.9904684,-1.9675115,-2.2160165,-2.015946,-0.077225395,-0.07735675,-0.077654645,-0.07389122,-0.07700798,-0.071974896,-0.07216925,-0.07262639,-0.06810223,-0.07167128,0.6913767,0.3018488,5.6611094e-05,1.3992812e-05,0.0067038597,1
226032609,225841732,-1.9687574,0.004101258,-1.9717212,-1.9615344,-1.9386436,-2.1864727,-1.9869479,-0.040408246,-0.040222432,-0.039766163,-0.04227402,-0.04066176,-0.027402401,-0.028236639,-0.03011373,-0.009436815,-0.026139744,0.69203097,0.30115357,5.605125e-05,1.4813847e-05,0.006744577,1
227032311,226841729,-1.9519736,0.0041547036,-1.9585149,-1.9483999,-1.9256788,-2.1716783,-1.9736305,0.07596727,0.07644528,0.07755025,0.06641912,0.07525689,0.11635403,0.1161554,0.11571106,0.12175836,0.116676,0.6937874,0.29929087,5.4578606e-05,1.7132383e-05,0.0068499474,1
228032277,227841729,-2.0158818,0.0042231404,-2.0159402,-2.0058818,-1.9832631,-2.228146,-2.0309858,0.040144004,0.04041838,0.041057497,0.035118863,0.039746158,0.060575195,0.060285382,0.05962903,0.06740121,0.06102966,0.6928465,0.30029142,5.5320575e-05,1.5047097e-05,0.006791776,1
229032317,228841729,-1.9073644,0.004243676,-1.9215986,-1.9117111,-1.8895167,-2.1301172,-1.9363683,-0.034521043,-0.03426595,-0.033673584,-0.03933525,-0.034892023,0.0933294,0.09311582,0.09263019,0.0985063,0.09366906,0.6912439,0.30199653,5.6570123e-05,1.1568594e-05,0.006691462,1
230032315,229841728,-1.9292156,0.0042915763,-1.9355837,-1.9257841,-1.9037855,-2.1422348,-1.9502233,-0.024518464,-0.024578344,-0.024720691,-0.02320771,-0.024413493,0.063566566,0.063591,0.06362647,0.06305275,0.063545875,0.69291556,0.30022597,5.5149663e-05,1.3180886e-05,0.006790135,1
231032308,230841729,-1.968874,0.004387721,-1.9688703,-1.959069,-1.937054,-2.175628,-1.98352,-0.012837257,-0.012917183,-0.013099119,-0.010687288,-0.0126981735,0.03649144,0.036334734,0.035963856,0.03971429,0.036740378,0.6931287,0.299998,5.4967404e-05,1.3519537e-05,0.0068048653,1
232032287,231841729,-1.9649496,0.004464129,-1.9666631,-1.9568954,-1.9349583,-2.17274,-1.9812615,0.012308635,0.012817256,0.013993412,0.002077818,0.011550419,-0.0066211447,-0.0068172105,-0.0072543807,-0.0012443289,-0.00630356,0.6926936,0.30045894,5.529618e-05,1.2712652e-05,0.00677943,1
233032571,232841729,-1.9472427,0.0045591467,-1.9500741,-1.9403455,-1.9185036,-2.155315,-1.9646088,0.02129006,0.021296922,0.02133492,0.02281819,0.021305785,0.081251115,0.080555215,0.0789825,0.09591639,0.082303464,0.6920302,0.3011627,5.581278e-05,1.1636191e-05,0.006739592,1
235032416,234841729,-1.9303292,0.004618217,-1.9355689,-1.9261788,-1.9045938,-2.1353798,-1.9498492,0.08425694,0.08450927,0.08506809,0.077771,0.08387572,0.031924516,0.032480486,0.033715714,0.021005848,0.03111763,0.69337225,0.29974312,5.458717e-05,1.2076443e-05,0.006818027,1
237032323,236841729,-1.9648017,0.0047268244,-1.9656607,-1.9563032,-1.935294,-2.1630878,-1.9796445,0.07809926,0.07813545,0.078226924,0.07816039,0.07806401,-0.043585353,-0.043918863,-0.04468012,-0.03641334,-0.043071784,0.6944567,0.29859474,5.3655385e-05,1.2653741e-05,0.006882256,1
238032291,237841729,-1.9301426,0.0048096874,-1.9273028,-1.9180688,-1.8968328,-2.123689,-1.9413506,-0.015360832,-0.015228884,-0.014922336,-0.01768114,-0.015545012,-0.093149245,-0.093321614,-0.09371927,-0.08913508,-0.092873976,0.6952642,0.29773515,5.299876e-05,1.3766449e-05,0.0069337995,1
239032308,238841729,-1.9210707,0.0048924387,-1.9252129,-1.916026,-1.8948978,-2.120596,-1.9391881,0.0055922344,0.005295351,0.0046101063,0.012199372,0.0060605854,-0.053248994,-0.053350396,-0.053603113,-0.051649325,-0.05308766,0.6954178,0.29757282,5.2854004e-05,1.3709265e-05,0.0069426917,1
240032308,239841729,-1.9744688,0.0042465287,-1.9840016,-1.9760258,-1.957633,-2.1542552,-1.9961659,0.026334405,0.02688837,0.028045118,0.006953299,0.025437713,0.1540862,0.15793464,0.16654383,0.07470477,0.14838034,0.6947534,0.29831296,5.292011e-05,7.507792e-06,0.006873173,1
241032311,240841729,-1.979182,0.003867632,-1.9817486,-1.9748547,-1.9588715,-2.1296833,-1.9923117,0.016189575,0.016417742,0.016963601,0.012634993,0.015863419,0.024921328,0.024175152,0.02249524,0.041101307,0.026052449,0.68859404,0.30485946,5.7531375e-05,3.3293188e-06,0.0064856433,1
242032281,241841729,-1.9580281,0.003598704,-1.9564046,-1.9500619,-1.935308,-2.0926871,-1.9661468,0.031738997,0.03173572,0.03175485,0.033898294,0.03177452,-0.03691379,-0.03821519,-0.041141853,-0.009463417,-0.034959942,0.69131815,0.3019899,5.5093118e-05,3.5140442e-06,0.0066331606,1
243032316,242841729,-1.9481727,0.0034970066,-1.953664,-1.9475529,-1.933806,-2.0827932,-1.9628059,0.05502782,0.055236537,0.0557321,0.051392578,0.054726187,0.032471213,0.03194793,0.030767338,0.043881476,0.033267792,0.693558,0.299627,5.3179654e-05,3.822969e-06,0.0067580356,1
244032288,243841729,-1.960682,0.003022189,-1.958707,-1.9537889,-1.9422424,-2.0648823,-1.966313,0.18328488,0.18325603,0.18321478,0.18599606,0.18336022,0.069928944,0.06827258,0.06455763,0.104763,0.072405435,0.6960723,0.29698518,5.0921757e-05,6.1449455e-06,0.006885629,1
245032351,244841729,-1.9469126,0.0029544542,-1.9459559,-1.9412643,-1.9302183,-2.0474255,-1.9532272,-0.00457108,-0.004516244,-0.0044190884,-0.0072237253,-0.0046527386,-0.06597038,-0.064569086,-0.06145511,-0.09518371,-0.06803541,0.6943308,0.29884028,5.2170624e-05,4.6699547e-06,0.006772214,1
246032283,245841729,-1.9594358,0.0027034935,-1.963588,-1.9594079,-1.9495057,-2.0543563,-1.9701018,-0.024409384,-0.024266288,-0.023945495,-0.028327763,-0.024625644,-0.006897729,-0.0059893467,-0.003972914,-0.02570895,-0.0082311565,0.6922558,0.30104944,5.3618656e-05,3.0809997e-06,0.00663803,1
247032363,246841729,-1.950734,0.002638786,-1.9610344,-1.9571162,-1.9477962,-2.0463626,-1.9671636,-0.022337794,-0.022225678,-0.02198726,-0.026103258,-0.022509336,-0.0011591762,0.00034600496,0.0036963075,-0.032564566,-0.003381431,0.6922168,0.3010959,5.3572614e-05,2.7960546e-06,0.0066308547,1
248032539,247841729,-1.9722047,0.0024095236,-1.9731841,-1.9698204,-1.9617425,-2.0468605,-1.9784893,0.0071725845,0.0071029663,0.006939888,0.009600997,0.0073059797,-0.012760069,-0.013732437,-0.015924837,0.007781256,-0.011295918,0.6918808,0.3014572,5.365096e-05,2.2314782e-06,0.0066061555,1
249032305,248841729,-1.963059,0.002180865,-1.9567039,-1.9537551,-1.946606,-2.0215871,-1.9613885,0.12570572,0.12571666,0.12574711,0.12620579,0.1257093,-0.06564702,-0.06653528,-0.068537064,-0.046817236,-0.06430888,0.69456327,0.29862136,5.144182e-05,2.8173451e-06,0.006761124,1
250032310,249841729,-1.9461894,0.002178038,-1.9499177,-1.9471229,-1.9403195,-2.0115275,-1.9543698,0.20097315,0.20098364,0.2010063,0.20101213,0.20097268,-0.11354346,-0.113797836,-0.11438208,-0.10805428,-0.11314905,0.69518644,0.2979553,5.0925744e-05,1.2213466e-05,0.006795109,1
251032321,250841729,-1.9396874,0.0022548304,-1.9425288,-1.9397542,-1.932991,-2.0037465,-1.9469541,0.06591594,0.06598532,0.066144824,0.064207256,0.06581718,-0.060646832,-0.06023018,-0.059314176,-0.0692261,-0.061249927,0.69459355,0.29858539,5.136701e-05,1.1390334e-05,0.0067582126,1
