timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
200558312,4.976889,0.0,3.2990935,3.276233,3.294159,3.2838867,15,0,1,0,1,0,0,0,0,0
201058308,4.9789033,0.0,3.317221,3.2781463,3.2986908,3.2771392,15,0,1,0,1,0,0,0,0,0
201558308,4.9801116,0.0,3.307251,3.276837,3.2916412,3.2786498,15,0,1,0,1,0,0,0,0,0
202058307,4.960171,0.0,3.3147032,3.2793548,3.295166,3.2760315,15,0,1,0,1,0,0,0,0,0
202558310,4.984946,0.0,3.290332,3.2811675,3.2965758,3.2779448,15,0,1,0,1,0,0,0,0,0
203058310,4.977997,0.0,3.3183289,3.2786498,3.2959716,3.2794554,15,0,1,0,1,0,0,0,0,0
203558306,4.9688325,0.0,3.3138976,3.2784483,3.2959716,3.2783477,15,0,1,0,1,0,0,0,0,0
204058308,4.9809175,0.0,3.2969787,3.276233,3.294159,3.280664,15,0,1,0,1,0,0,0,0,0
204558310,4.9690337,0.0,3.3029206,3.2753265,3.2906342,3.282074,15,0,1,0,1,0,0,0,0,0
205058310,4.943756,0.0,3.2856994,3.2786498,3.2911377,3.2795563,15,0,1,0,1,0,0,0,0,0
205558310,4.9466767,0.0,3.2863038,3.2788513,3.2931519,3.2808654,15,0,1,0,1,0,0,0,0,0
206058312,4.955035,0.0,3.2902312,3.2770386,3.294159,3.2774413,15,0,1,0,1,0,0,0,0,0
207058306,4.9610777,0.0,3.3167174,3.2783477,3.295468,3.27724,15,0,1,0,1,0,0,0,0,0
207558310,4.9590635,0.0,3.2980864,3.2811675,3.295166,3.2788513,15,0,1,0,1,0,0,0,0,0
208058310,4.946173,0.0,3.299597,3.2774413,3.2963746,3.2808654,15,0,1,0,1,0,0,0,0,0
208558308,4.9660125,0.0,3.2943604,3.2763336,3.2912383,3.2797577,15,0,1,0,1,0,0,0,0,0
209058310,4.9493957,0.0,3.2899292,3.279657,3.2921448,3.2776427,15,0,1,0,1,0,0,0,0,0
209558308,4.9463744,0.0,3.287512,3.2800598,3.294058,3.2807648,15,0,1,0,1,0,0,0,0,0
210058310,4.942044,0.0,3.3129914,3.2764342,3.2925475,3.2784483,15,0,1,0,1,0,0,0,0,0
210558308,4.9632936,0.0,3.2980864,3.2795563,3.296173,3.2794554,15,0,1,0,1,0,0,0,0,0
211558310,4.9392242,0.0,3.3138976,3.280664,3.293756,3.2784483,15,0,1,0,1,0,0,0,0,0
212058311,4.9698396,0.0,3.2897277,3.280664,3.2957702,3.275427,15,0,1,0,1,0,0,0,0,0
212558308,4.9557405,0.0,3.3184295,3.2785492,3.2952666,3.2777436,15,0,1,0,1,0,0,0,0,0
213058307,4.966315,0.0,3.2967772,3.2801604,3.2916412,3.2776427,15,0,1,0,1,0,0,0,0,0
213558310,4.9555387,0.0,3.2874115,3.276132,3.2914398,3.2785492,15,0,1,0,1,0,0,0,0,0
214058306,4.947684,0.0,3.2884185,3.2797577,3.2922454,3.280966,15,0,1,0,1,0,0,0,0,0
214558309,4.958963,0.0,3.2852967,3.2759306,3.2938569,3.2807648,15,0,1,0,1,0,0,0,0,0
215058308,4.9556394,0.0,3.2881165,3.2769377,3.2925475,3.278247,15,0,1,0,1,0,0,0,0,0
215558307,4.9670196,0.0,3.3023162,3.2766356,3.2967772,3.2804625,15,0,1,0,1,0,0,0,0,0
216058309,4.956848,0.0,3.2907348,3.280664,3.2922454,3.2826781,15,0,1,0,1,0,0,0,0,0
216558310,4.9445615,0.0,3.302719,3.2815704,3.2945616,3.280664,15,0,1,0,1,0,0,0,0,0
217058310,4.943051,0.0,3.2894256,3.279959,3.2932525,3.276233,15,0,1,0,1,0,0,0,0,0
217558309,4.953424,0.0,3.295166,3.2777436,3.2924469,3.2798584,15,0,1,0,1,0,0,0,0,0
218058313,4.9611783,0.0,3.2963746,3.2770386,3.2957702,3.278247,15,0,1,0,1,0,0,0,0,0
218558309,4.9511075,0.0,3.28721,3.2798584,3.2933533,3.2785492,15,0,1,0,1,0,0,0,0,0
219058308,4.9408355,0.0,3.2885191,3.2767365,3.2923462,3.2800598,15,0,1,0,1,0,0,0,0,0
219558310,4.955438,0.0,3.2906342,3.2794554,3.294058,3.2787507,15,0,1,0,1,0,0,0,0,0
220058309,4.9574523,0.0,3.305539,3.280966,3.292749,3.2795563,15,0,1,0,1,0,0,0,0,0
221058308,4.949899,0.0,3.315509,3.2787507,3.2917418,3.2774413,15,0,1,0,1,0,0,0,0,0
221558310,4.940332,0.0,3.3168182,3.2783477,3.2945616,3.2795563,15,0,1,0,1,0,0,0,0,0
222058308,4.956848,0.0,3.311682,3.2778442,3.2933533,3.276837,15,0,1,0,1,0,0,0,0,0
222558311,4.9518127,0.0,3.3163147,3.286505,3.2912383,3.2757294,15,0,1,0,1,0,0,0,0,0
223058308,4.952014,0.0,3.2864044,3.2778442,3.2953675,3.2770386,15,0,1,0,1,0,0,0,0,0
223558309,4.95715,0.0,3.2928498,3.2792542,3.2929504,3.2745209,15,0,1,0,1,0,0,0,0,0
