timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
199316360,199125671,3407882,-0.003062553,-0.0014562433,-0.0005355996,0.15,1.8837319e-07,1.8856292e-07,3.9281127e-07,3407882,-0.0048362766,-0.0107907355,0.026984518,0.4,0.0019263542,0.0019746695,1.5238836e-05,466953,0.00049695006,0.00032701791,-0.007529606,0.5,0.0011695619,0.0011654875,0.0012500875,1,1,1,0,1,0
200325960,200135682,3407882,-0.0030681589,-0.0014663368,-0.0005389833,0.15,1.8847045e-07,1.8865869e-07,3.929061e-07,3407882,-0.0048325006,-0.010793401,0.026965665,0.4,0.0019264483,0.0019747636,1.5223609e-05,466953,0.000534339,0.00035758285,-0.007521305,0.5,0.0011695032,0.0011654403,0.001250083,1,1,1,0,1,0
201336209,201145671,3407882,-0.003070578,-0.0014601386,-0.00055634166,0.15,1.8773504e-07,1.879249e-07,3.9294807e-07,3407882,-0.0048331018,-0.01079362,0.026947603,0.4,0.0019265424,0.0019748576,1.5198402e-05,466953,0.0005388672,0.00032156278,-0.0075151753,0.5,0.0011693148,0.0011652517,0.0012500752,1,1,1,0,1,0
202345965,202155677,3407882,-0.0030735717,-0.0014529497,-0.0005717947,0.15,1.8786152e-07,1.8803539e-07,3.930206e-07,3407882,-0.0048359567,-0.010791445,0.026969729,0.4,0.0019266364,0.0019749515,1.5183714e-05,466953,0.0005264813,0.00024092375,-0.0075128553,0.5,0.0011688242,0.0011647118,0.0012500678,1,1,1,0,1,0
203356073,203165671,3407882,-0.0030783697,-0.0014270559,-0.000584303,0.15,1.8799321e-07,1.8814282e-07,3.9308006e-07,3407882,-0.004842195,-0.010783093,0.026961204,0.4,0.0019267305,0.0019750432,1.51687855e-05,466953,0.00048590588,0.00010564436,-0.00751655,0.5,0.0011684095,0.0011641871,0.0012500632,1,1,1,0,1,0
204365964,204175691,3407882,-0.0030787005,-0.0014323476,-0.0006027049,0.15,1.88266e-07,1.8841112e-07,3.9383673e-07,3407882,-0.0048456024,-0.010793961,0.026913404,0.4,0.0019268218,0.001975134,1.5154649e-05,466953,0.000521697,8.589931e-06,-0.0075153452,0.5,0.0011682287,0.0011638704,0.0012500613,1,0,1,0,1,0
205376247,205185671,3407882,-0.0031083187,-0.0014173659,-0.00062126975,0.15,1.8906807e-07,1.8922005e-07,3.9683212e-07,3407882,-0.0048755603,-0.010775043,0.026914334,0.4,0.0019269086,0.0019752206,1.5140125e-05,466953,0.0006061303,-0.0001919297,-0.007543713,0.5,0.0011680167,0.0011634225,0.0012500457,1,0,1,0,1,0
205736453,205545699,3407882,-0.0031127457,-0.0014182307,-0.0006298825,0.15,1.8895233e-07,1.8908419e-07,3.9793034e-07,3407882,-0.004892128,-0.010728399,0.026913308,0.4,0.0019269132,0.0019752146,1.5131018e-05,466953,0.0008469978,-0.0012367937,-0.007785323,0.5,0.0011619633,0.0011532621,0.0012459654,1,0,1,0,1,0
205886250,205695673,3407882,-0.0031079696,-0.0014193237,-0.00063372054,0.15,1.8948069e-07,1.8961106e-07,3.984321e-07,3407882,-0.0049043866,-0.01070254,0.02690702,0.4,0.0019268923,0.001975182,1.5133723e-05,466953,0.0012577629,-0.0024880946,-0.00799849,0.5,0.001155589,0.0011399036,0.0012375679,1,0,1,0,1,0
205956256,205765671,3407882,-0.0031086416,-0.0014253585,-0.0006371215,0.15,1.8925402e-07,1.894006e-07,3.9857142e-07,3407882,-0.00496421,-0.010721529,0.026891565,0.4,0.0019268384,0.0019751238,1.5129625e-05,466953,0.001060443,-0.003608448,-0.008105689,0.5,0.0011463431,0.0011275035,0.001233881,1,0,1,0,1,0
