timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
213552234,213552213,0.7,2.7672571e-05,-0.5836743,3.198911,0.011833045,3.177474,1
213652233,213652212,0.69958425,2.718056e-05,1.0783725,3.156262,0.04093757,3.145409,1
213752288,213752267,0.6996859,2.6704034e-05,2.5298653,3.195629,0.22253378,3.2151215,1
213852244,213852222,0.6999755,2.6249772e-05,0.16942427,3.1734984,0.0010050101,3.15372,1
213952264,213952243,0.6998915,2.5802383e-05,0.88360107,3.0483658,0.028457902,3.0354242,1
214052266,214052244,0.6999543,2.5364685e-05,-0.70685446,3.0469127,0.018220382,3.0274413,1
214152234,214152213,0.7,2.4939327e-05,-1.7011695,3.0118885,0.10676128,3.0013974,1
214252305,214252284,0.7,2.452993e-05,-0.14987099,3.0080929,0.0008296624,2.9883082,1
214352275,214352254,0.69977427,2.4131765e-05,0.34816885,2.9358664,0.0045877635,2.9184182,1
214452272,214452251,0.69990945,2.3733119e-05,0.7689562,2.897224,0.022676636,2.8837967,1
214552279,214552258,0.69989014,2.3351733e-05,-1.215179,2.859696,0.057374395,2.8449345,1
214652259,214652238,0.7,2.2978413e-05,-2.3037527,2.8720047,0.20532604,2.8730218,1
214752522,214752500,0.6994773,2.2620683e-05,1.8002515,2.9526482,0.121958524,2.9545243,1
214852268,214852247,0.6999317,2.2280268e-05,-0.51724756,2.9619617,0.010036331,2.9429665,1
214952278,214952256,0.6998747,2.1945974e-05,1.1568238,2.9267485,0.050805002,2.9180858,1
215052327,215052306,0.69996285,2.1618334e-05,0.34807825,2.9485958,0.0045655807,2.9313354,1
215152268,215152247,0.69985765,2.1298778e-05,-0.101668894,2.9044058,0.00039543616,2.8859484,1
215252438,215252416,0.6996874,2.098208e-05,1.4416872,2.8247402,0.08175628,2.8208513,1
215352271,215352249,0.6997044,2.0660886e-05,0.8329457,2.777432,0.027755398,2.765063,1
215452232,215452211,0.69938415,2.03632e-05,-0.9518993,2.6978772,0.03731791,2.6832526,1
215552272,215552249,0.6999184,2.0080312e-05,-0.35481188,2.7313564,0.005121243,2.713957,1
215652236,215652214,0.6995422,1.9793317e-05,0.24252021,2.774567,0.0023553648,2.7577016,1
215752421,215752381,0.6998818,1.9511644e-05,1.147221,2.750055,0.053175338,2.7416317,1
215852227,215852204,0.699952,1.9237314e-05,0.18926084,2.777329,0.0014330181,2.7603714,1
215952246,215952222,0.7,1.8971108e-05,-0.89873505,2.8054245,0.03199059,2.7893856,1
216052261,216052239,0.6999341,1.8713548e-05,-1.0243123,2.7649927,0.042162683,2.750083,1
216152237,216152214,0.6999713,1.8456632e-05,0.1516034,2.718238,0.0009394807,2.702135,1
216252506,216252461,0.69970995,1.8238336e-05,0.4099421,2.867838,0.0065110037,2.8520544,1
216352333,216352308,0.7,1.8009687e-05,-1.6929599,2.903331,0.10968677,2.8945496,1
216452272,216452249,0.6999918,1.7787208e-05,0.09312242,2.9672997,0.00032471668,2.9499063,1
216552283,216552260,0.7,1.7593085e-05,-2.069445,3.069013,0.15504812,3.0630455,1
216652299,216652277,0.69990426,1.7379387e-05,1.1785738,3.3228364,0.04644748,3.317007,1
216752450,216752429,0.69980234,1.718092e-05,2.4612858,3.2887473,0.20466854,3.3135169,1
216852304,216852283,0.69971496,1.7016364e-05,3.357233,3.6907244,0.33931953,3.746504,1
216952266,216952244,0.7,1.6847836e-05,-1.8878646,3.721151,0.10641966,3.7062402,1
217052261,217052240,0.69999397,1.6688951e-05,0.092508435,3.9027383,0.00024364119,3.8820906,1
217152261,217152239,0.69974715,1.6537255e-05,2.228474,3.910569,0.14110182,3.925585,1
217252417,217252379,0.7,1.6387396e-05,-4.584222,3.9680974,0.5884457,4.022159,1
217352255,217352220,0.7,1.6251688e-05,-3.0677075,4.183395,0.24995194,4.187645,1
217452238,217452218,0.7,1.6117268e-05,-1.1471446,4.1405773,0.035312857,4.1172013,1
217552233,217552210,0.7,1.5983785e-05,-0.4977432,4.0942526,0.0067234705,4.070317,1
217652285,217652263,0.6996406,1.5874111e-05,1.9160049,4.458531,0.09148691,4.466236,1
217752462,217752438,0.7,1.5755406e-05,-0.18329269,4.4546175,0.0008379872,4.4297686,1
217852229,217852208,0.7,1.5636451e-05,-5.79455,4.374238,0.85289294,4.474309,1
217952263,217952242,0.7,1.5525473e-05,-2.77883,4.7279096,0.18147312,4.721532,1
218052233,218052207,0.6997933,1.5421014e-05,0.99304855,4.7109737,0.023258824,4.6972804,1
218152244,218152223,0.6997043,1.5331923e-05,1.8806965,5.0646286,0.07759743,5.068979,1
218252416,218252378,0.7,1.5234563e-05,-1.4685466,5.1238484,0.046766695,5.0963106,1
218352273,218352252,0.69995034,1.51374115e-05,1.0792558,5.0751004,0.02550126,5.065674,1
218452269,218452248,0.7,1.5043214e-05,-0.8317686,5.069054,0.015164762,5.040323,1
218552275,218552254,0.69991904,1.4949904e-05,-0.119442046,5.043467,0.0003142988,5.017659,1
218652293,218652272,0.7,1.4860026e-05,-3.506052,5.112996,0.26712757,5.119531,1
218752489,218752445,0.6998311,1.4772994e-05,0.5305488,5.036346,0.0062100147,5.016039,1
218852280,218852258,0.6996533,1.4693237e-05,-1.3591282,5.1245036,0.040052217,5.09821,1
218952309,218952288,0.69967794,1.461726e-05,1.0809182,4.9938993,0.025995811,4.980036,1
219052294,219052274,0.69963425,1.4547892e-05,-0.02729699,5.050453,1.6392934e-05,5.024319,1
219152260,219152239,0.7,1.4478705e-05,-3.6337047,4.9342723,0.2973265,4.95258,1
219252515,219252493,0.7,1.4401842e-05,-3.7659726,4.856,0.32451376,4.8778205,1
219352228,219352207,0.7,1.4320203e-05,-1.7690217,4.8229938,0.07209533,4.8023305,1
219452224,219452203,0.6999334,1.4243934e-05,-0.9562671,4.6773996,0.021722583,4.652347,1
219552238,219552215,0.7,1.4168177e-05,-0.2634473,4.6648865,0.0016531185,4.6399913,1
219652228,219652205,0.69996524,1.4090046e-05,0.78377926,4.7159853,0.014473467,4.700577,1
219752393,219752371,0.6998669,1.4011888e-05,0.61016357,4.798318,0.008621067,4.778991,1
219852227,219852204,0.6996485,1.3946565e-05,-3.0274055,4.9511385,0.20568073,4.952801,1
219952267,219952245,0.7,1.3875634e-05,-3.4769475,4.9175267,0.27315366,4.9298034,1
220052240,220052219,0.6998823,1.3801243e-05,1.3829122,4.850355,0.043809988,4.84359,1
220152232,220152211,0.7,1.3723198e-05,-0.18150043,4.78434,0.0007650517,4.759201,1
220252492,220252448,0.6997907,1.3641509e-05,1.672229,4.6999316,0.066108525,4.7006903,1
220352289,220352265,0.69996417,1.3564534e-05,0.8372998,4.8125424,0.016186202,4.797415,1
220452270,220452247,0.6999151,1.34899765e-05,0.7694963,4.7401953,0.013879516,4.723887,1
220652260,220652236,0.7,1.3348858e-05,-2.2671103,4.7754283,0.119588785,4.761521,1
221052266,221052245,0.69978374,1.3088395e-05,1.4819348,4.944009,0.049355604,4.9357333,1
221152257,221152236,0.7,1.3027423e-05,-1.3133532,4.85719,0.039458036,4.8338885,1
221252511,221252489,0.69996494,1.2962808e-05,0.8527031,4.72837,0.017086051,4.7118344,1
221352231,221352208,0.7,1.289447e-05,-0.23532847,4.610428,0.0013346432,4.5858164,1
221452218,221452196,0.69985795,1.28323545e-05,0.24145913,4.6661186,0.001388318,4.6443458,1
221552270,221552249,0.69991726,1.2764979e-05,1.6708856,4.6420474,0.06682537,4.64193,1
221652255,221652234,0.6999903,1.2699031e-05,-1.3143549,4.6299076,0.041458204,4.606725,1
221752416,221752377,0.6999279,1.2632253e-05,1.2690376,4.524382,0.039550062,4.5168233,1
221852250,221852228,0.7,1.25665465e-05,-1.4466109,4.482042,0.05187822,4.4605627,1
221952226,221952205,0.6998305,1.25012175e-05,2.1793573,4.457792,0.11838443,4.469928,1
222052220,222052198,0.6999435,1.2437739e-05,1.3404014,4.441098,0.044950742,4.4346223,1
222152225,222152203,0.6999449,1.2374418e-05,-1.9644601,4.362331,0.09829362,4.348194,1
222252413,222252374,0.69996184,1.2311197e-05,0.13505733,4.2381625,0.00047820728,4.2166586,1
222352286,222352261,0.7,1.2246304e-05,-0.25365716,4.3234773,0.0016535546,4.300205,1
222452254,222452232,0.6999237,1.2181639e-05,-0.1781061,4.2661753,0.00082618324,4.243395,1
222552305,222552283,0.6999713,1.2116415e-05,0.3904431,4.09616,0.0041351956,4.0781293,1
222652261,222652240,0.6999189,1.2048596e-05,1.3866875,3.9736388,0.0537683,3.969768,1
222752447,222752426,0.6999215,1.19816195e-05,1.7347357,3.9378934,0.084910266,3.9411354,1
222852314,222852292,0.699968,1.1913361e-05,0.6953168,3.8453512,0.013969694,3.831509,1
222952294,222952272,0.6999284,1.1844949e-05,0.080305815,3.7620528,0.00019047,3.7429786,1
223052253,223052231,0.7,1.1776109e-05,-2.9103196,3.694545,0.2547287,3.7010655,1
223152300,223152279,0.7,1.1706446e-05,-0.91877234,3.5926535,0.026107062,3.5733027,1
223252443,223252422,0.6999931,1.1635675e-05,0.078565836,3.4613357,0.00019814413,3.4429379,1
223352224,223352202,0.69990575,1.1564374e-05,1.6942699,3.3688617,0.094675906,3.3722458,1
223452239,223452218,0.7,1.1491685e-05,-0.91603696,3.318135,0.02809891,3.3003848,1
223552232,223552211,0.7,1.1418317e-05,-1.5161108,3.275767,0.0779662,3.2626138,1
223652223,223652201,0.6999798,1.134379e-05,-0.9815135,3.2707307,0.03272693,3.2532556,1
223752416,223752378,0.7,1.1268017e-05,-0.8381653,3.2116365,0.02430471,3.1935701,1
223852256,223852216,0.7,1.11924e-05,-3.3045428,3.126424,0.3880899,3.1457384,1
223952242,223952221,0.7,1.1117091e-05,-1.7739238,3.177398,0.11004131,3.1665118,1
224052261,224052240,0.69994134,1.1042738e-05,1.1450801,3.2313635,0.045086175,3.227446,1
224152285,224152264,0.69992226,1.0972824e-05,0.88476026,3.2504268,0.026758904,3.2421484,1
224252443,224252420,0.699833,1.0905174e-05,3.3667545,3.1745083,0.3967381,3.230136,1
224352226,224352203,0.69999295,1.0837905e-05,0.13896006,3.1750693,0.00067574723,3.1592243,1
224452263,224452240,0.7,1.0769657e-05,-2.9619093,3.1340868,0.31102118,3.1456692,1
224552267,224552243,0.69994766,1.0701979e-05,1.0108583,3.058855,0.037117537,3.052996,1
224652259,224652235,0.69999367,1.0631875e-05,0.118890405,2.949049,0.0005325607,2.9344537,1
224752257,224752234,0.6999963,1.0560904e-05,-1.6377474,2.8843496,0.10332453,2.8744667,1
224852263,224852241,0.69998056,1.049061e-05,0.35833114,2.8176496,0.0050633694,2.8053107,1
224952264,224952239,0.6998911,1.041762e-05,1.9450426,2.7549856,0.15257958,2.768592,1
225052270,225052246,0.7,1.0344914e-05,-2.0709877,2.6935031,0.17692739,2.689482,1
225152293,225152269,0.7,1.0270987e-05,-2.7233207,2.706164,0.3045096,2.7137349,1
225252280,225252256,0.69997114,1.0197635e-05,-1.3537505,2.6961405,0.075525254,2.683432,1
225352312,225352290,0.7,1.0123814e-05,-0.86539805,2.6526854,0.03136921,2.6377532,1
225452275,225452253,0.7,1.0050685e-05,-1.6257849,2.645455,0.111015424,2.6352386,1
225552261,225552239,0.6999181,9.978141e-06,-0.24804193,2.6213892,0.0026078115,2.6069171,1
225652222,225652201,0.6999221,9.9066465e-06,1.389607,2.6329188,0.081489936,2.6371603,1
225752233,225752212,0.6999472,9.836509e-06,-0.5297382,2.596183,0.012010047,2.5810916,1
225852229,225852208,0.7,9.765005e-06,-2.4885802,2.5651453,0.2682556,2.567716,1
225952221,225952200,0.7,9.696142e-06,-1.8354799,2.5343711,0.14770205,2.5271347,1
226052246,226052223,0.7,9.648315e-06,-0.83569527,2.9427993,0.026368942,2.9266388,1
226152228,226152205,0.69989234,9.585698e-06,1.5255411,2.8707297,0.09007681,2.8745396,1
226252221,226252199,0.7,9.526553e-06,-0.74539363,2.8587403,0.021595046,2.8429792,1
226352220,226352199,0.699983,9.469521e-06,-1.6745057,2.8416886,0.10963628,2.833017,1
226452285,226452264,0.6999861,9.413295e-06,0.14751256,2.753822,0.0008779698,2.7402792,1
226552319,226552278,0.7,9.3722465e-06,-1.2409654,2.9477236,0.058048375,2.9344928,1
226652289,226652267,0.7,9.315824e-06,-1.5307822,2.9076557,0.089545,2.8965297,1
226752305,226752283,0.7,9.262163e-06,-2.4667199,2.9439979,0.2296464,2.9462159,1
226852289,226852266,0.7,9.2084265e-06,-2.1530986,2.906149,0.17724234,2.9011927,1
226952265,226952242,0.7,9.152532e-06,-0.4412209,2.8180606,0.007675724,2.8024476,1
227052257,227052234,0.7,9.112838e-06,-2.113196,3.0960715,0.16026032,3.0904653,1
227152267,227152246,0.7,9.060311e-06,-0.51235527,3.0960715,0.009420824,3.0789194,1
227252252,227252231,0.69994193,9.016493e-06,0.04640758,3.1151009,7.681804e-05,3.0998926,1
227352256,227352235,0.7,8.9684545e-06,-0.62435293,3.0162978,0.014359641,2.9995694,1
227452222,227452198,0.7,8.92032e-06,-2.1855035,2.8909054,0.18358053,2.8872898,1
227552221,227552197,0.6999898,8.8884135e-06,0.25174356,3.3355618,0.0021110827,3.3204036,1
227652228,227652205,0.6999138,8.845775e-06,2.0452445,3.198107,0.1453299,3.2120624,1
227752253,227752211,0.69986683,8.804956e-06,1.4411597,3.1569443,0.07309956,3.1569157,1
227852230,227852208,0.6999329,8.7654125e-06,0.021130234,3.1739275,1.5630363e-05,3.1572742,1
227952258,227952235,0.69997346,8.725942e-06,-0.30913675,3.0829394,0.003444243,3.0660737,1
228052261,228052240,0.699969,8.697043e-06,0.795395,3.3296762,0.021111604,3.3183327,1
228152254,228152231,0.6999761,8.656776e-06,-0.58509314,3.2360373,0.011754224,3.2185993,1
228252221,228252200,0.7,8.617865e-06,-3.7914712,3.2042978,0.49847132,3.244166,1
228352227,228352206,0.7,8.581063e-06,-1.071499,3.202221,0.039837282,3.1871884,1
228452264,228452242,0.7,8.544206e-06,-1.4632863,3.17162,0.07501273,3.1600418,1
228552260,228552239,0.7,8.521927e-06,-1.6346209,3.9088945,0.075951725,3.8961196,1
228652259,228652237,0.6999571,8.4914645e-06,0.5237539,3.774796,0.008074554,3.7582712,1
228752254,228752233,0.6998614,8.4621115e-06,0.49466002,3.8097413,0.007136342,3.7924852,1
228852257,228852236,0.7,8.433646e-06,-3.3720896,3.7220638,0.33944696,3.7472982,1
228952272,228952251,0.7,8.404728e-06,-0.47700274,3.6567316,0.0069136303,3.6371582,1
229052463,229052441,0.7,8.38323e-06,-0.7550194,3.8289254,0.016542338,3.8086894,1
229152258,229152235,0.6999778,8.351661e-06,0.6433728,3.7051103,0.012413141,3.690348,1
229252283,229252261,0.6998661,8.320999e-06,-0.7808501,3.717652,0.018223178,3.698456,1
229352299,229352277,0.69995993,8.2916e-06,1.1892027,3.652281,0.04302343,3.6450045,1
229452331,229452307,0.7,8.26287e-06,-1.0232705,3.5677893,0.03260913,3.550403,1
229552391,229552370,0.7,8.243053e-06,-1.2437446,3.869334,0.044420525,3.8518004,1
229652221,229652200,0.6999352,8.214564e-06,1.9622111,3.823832,0.1118794,3.830398,1
229752232,229752210,0.6999842,8.187717e-06,0.12094164,3.727169,0.0004360438,3.7086039,1
229852218,229852197,0.6998978,8.161392e-06,-0.96405333,3.6954045,0.027944583,3.6775095,1
229952224,229952203,0.7,8.135704e-06,-3.437694,3.633706,0.3613617,3.6593177,1
230052386,230052365,0.7,8.118569e-06,-0.84171015,3.9534209,0.019911755,3.9333024,1
230152223,230152201,0.69994336,8.093057e-06,-3.0551302,3.899839,0.26593181,3.914984,1
230252223,230252202,0.7,8.067286e-06,-2.475362,3.8023663,0.17905276,3.8034477,1
230352282,230352260,0.7,8.042025e-06,-4.315198,3.7095323,0.5577502,3.764568,1
230452221,230452200,0.6999102,8.016909e-06,2.2139766,3.6482425,0.14928626,3.6605306,1
230552498,230552455,0.7,7.991348e-06,-1.4949192,3.5468884,0.07000764,3.534073,1
230652305,230652285,0.6997766,7.966558e-06,1.8029602,3.499411,0.103213094,3.5013015,1
230752329,230752287,0.6996636,7.942638e-06,-0.17034301,3.4770749,0.0009272399,3.458697,1
230852262,230852239,0.69973797,7.9197225e-06,-0.28245345,3.4231374,0.0025895657,3.4049842,1
230952264,230952243,0.6998445,7.904095e-06,-0.02520442,3.6219604,1.9487998e-05,3.6027493,1
231052432,231052393,0.6999116,7.880121e-06,2.6803246,3.5436423,0.22525913,3.563693,1
231152253,231152232,0.6998829,7.856624e-06,1.5167503,3.5194318,0.07262951,3.5137093,1
231252264,231252242,0.6999414,7.8338235e-06,0.7426483,3.475357,0.017632928,3.4605498,1
231352260,231352238,0.6999118,7.81016e-06,1.1130139,3.3512452,0.041072622,3.3406706,1
231452270,231452247,0.69994706,7.785724e-06,1.0241284,3.3202503,0.035099063,3.3091614,1
231552446,231552424,0.69992954,7.761069e-06,-0.7035729,3.2343178,0.017005643,3.2181733,1
231652288,231652265,0.7,7.735015e-06,-2.169355,3.0959516,0.16889803,3.09906,1
231752227,231752204,0.6999273,7.707775e-06,2.0203538,3.0750337,0.14748996,3.0817127,1
231852266,231852243,0.6999703,7.6809e-06,0.35582364,3.0419106,0.0046246685,3.0267594,1
231952278,231952257,0.69997144,7.653243e-06,-0.47967604,2.937855,0.008702083,2.9223526,1
232052419,232052379,0.7,7.6250953e-06,-1.9816325,2.9129386,0.1497864,2.9122858,1
232152229,232152206,0.69995344,7.5962057e-06,1.2091252,2.84734,0.05705066,2.8418102,1
232252233,232252210,0.7,7.566664e-06,-2.8885145,2.8188279,0.32888043,2.8373606,1
232352220,232352198,0.6999288,7.5376224e-06,0.29033226,2.8403883,0.0032973902,2.826376,1
232452227,232452204,0.7,7.5086436e-06,-1.7373849,2.81963,0.11894809,2.8144581,1
232552443,232552422,0.6998958,7.479267e-06,0.6290585,2.7698374,0.015873961,2.7584977,1
232652253,232652231,0.6998931,7.448937e-06,1.4762294,2.8769336,0.084165744,2.87674,1
232752261,232752240,0.7,7.4205714e-06,-2.7154737,2.824819,0.29004008,2.8365083,1
232852257,232852236,0.699977,7.391863e-06,0.59268385,2.7577713,0.014152901,2.7470503,1
232952325,232952303,0.7,7.367505e-06,-0.6355231,2.8465347,0.015765352,2.8311036,1
233052456,233052435,0.7,7.337828e-06,-2.0025358,2.7967646,0.159317,2.7942443,1
233152286,233152265,0.7,7.3076585e-06,-0.18100142,2.7305512,0.0013331258,2.7158182,1
233252300,233252279,0.6999974,7.2767093e-06,0.063538074,2.6895869,0.00016677848,2.675652,1
233352262,233352241,0.7,7.2455996e-06,-1.0269568,2.5888102,0.045264907,2.576557,1
233452259,233452239,0.6999912,7.2138187e-06,-0.54941213,2.5153947,0.013333613,2.5016623,1
233552412,233552374,0.7,7.19357e-06,-2.061111,2.9479105,0.16012013,2.9453158,1
233652237,233652216,0.6999427,7.16532e-06,-1.3568438,2.8725312,0.07121188,2.8612294,1
233752219,233752197,0.69991475,7.1384256e-06,0.6731024,2.87259,0.01752452,2.862156,1
233852219,233852196,0.6999788,7.1125364e-06,-2.7131274,2.8344712,0.28855315,2.8458927,1
234152220,234152199,0.6999928,7.0360634e-06,0.19891578,2.8106387,0.0015641953,2.7970197,1
234252292,234252269,0.7,7.010997e-06,-2.4856534,2.748355,0.2497847,2.7551947,1
234352219,234352196,0.7,6.9848697e-06,-1.7328527,2.6792715,0.12452716,2.6733155,1
234752261,234752240,0.7,6.871758e-06,-1.2250726,2.4828334,0.067163534,2.4720435,1
234852260,234852239,0.7,6.852045e-06,-1.7238318,2.7143424,0.12164174,2.7076333,1
234952304,234952281,0.6998924,6.823942e-06,0.87541187,2.7542977,0.030915158,2.7475433,1
235052448,235052427,0.6999475,6.798431e-06,1.3870218,2.7428627,0.077932745,2.7442222,1
235152257,235152236,0.7,6.78242e-06,-1.1683037,3.2163575,0.047152497,3.2016146,1
235252267,235252244,0.6999619,6.7604587e-06,-0.21738786,3.0992873,0.001694206,3.0828805,1
235352252,235352231,0.7,6.7434726e-06,-0.60723543,3.2563086,0.012581897,3.2394252,1
235452256,235452236,0.69997257,6.7227897e-06,0.8294852,3.1722238,0.024099661,3.1627758,1
235552499,235552454,0.69996274,6.703169e-06,-0.2864592,3.1353333,0.002908033,3.1184087,1
235652220,235652197,0.69996214,6.6839093e-06,0.46211588,3.0858493,0.0076892604,3.0728323,1
235752270,235752246,0.69993186,6.664435e-06,1.246266,2.971048,0.058085706,2.9678302,1
235852272,235852250,0.7,6.653774e-06,-1.7495418,3.5074427,0.09696512,3.4981642,1
235952225,235952201,0.6999592,6.637849e-06,-0.6020201,3.4966395,0.0115167145,3.478001,1
236052417,236052376,0.6999622,6.6224056e-06,0.62821305,3.4390318,0.012750734,3.425548,1
236152221,236152198,0.6999956,6.6071175e-06,-0.4243142,3.3599072,0.005953952,3.34216,1
236252241,236252218,0.69997555,6.5914805e-06,0.82628906,3.2666423,0.023223085,3.2567663,1
236352229,236352205,0.7,6.5822915e-06,-0.6005392,3.601116,0.011127642,3.5826821,1
236452226,236452203,0.7,6.5671247e-06,-1.1812038,3.4698567,0.0446782,3.4543564,1
236552389,236552367,0.69992775,6.5516065e-06,2.5462186,3.4027565,0.2116986,3.426509,1
236652288,236652265,0.69997156,6.5371896e-06,-1.6432756,3.3593476,0.08931479,3.3492815,1
236752267,236752245,0.69995105,6.5221298e-06,1.6792276,3.2714434,0.09577171,3.2748387,1
236852310,236852289,0.6999252,6.5130093e-06,0.2608813,3.4378128,0.0021996885,3.4212127,1
