timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
206238176,206191528,466953,-0.088686995,0.098871894,0.47716412,3
206277176,206263035,466953,-0.084693,0.097116105,0.47803974,3
206524201,206477531,466953,-0.0800778,0.08946757,0.4794405,3
206667176,206620529,466953,-0.08530697,0.09292677,0.4798668,3
206706184,206692035,466953,-0.08399822,0.09495759,0.47919604,3
206810186,206763531,466953,-0.08159663,0.09654701,0.47910348,3
206849209,206835029,466953,-0.07836883,0.0965017,0.48006356,3
206953197,206906528,466953,-0.0765601,0.099366255,0.47889107,3
206992180,206978030,466953,-0.07914536,0.10372417,0.47797722,3
207096189,207049531,466953,-0.08134423,0.10351294,0.47740862,3
207135187,207121029,466953,-0.08306238,0.10270631,0.47775933,3
207239179,207192529,466953,-0.08389932,0.10371922,0.47728327,3
207278179,207264027,466953,-0.08347183,0.10325521,0.4777511,3
207382182,207335532,466953,-0.084534466,0.10301393,0.47803748,3
207421183,207407027,466953,-0.08757198,0.10255946,0.47735518,3
207525187,207478528,466953,-0.089273326,0.101216555,0.4782545,3
207564206,207550032,466953,-0.091259405,0.10134785,0.47792077,3
207668192,207621528,466953,-0.091380835,0.10251835,0.4776457,3
207707177,207693030,466953,-0.09082496,0.10398139,0.47814965,3
207811198,207764529,466953,-0.09127555,0.10903408,0.4765249,3
207850189,207836035,466953,-0.09332883,0.112819694,0.47517025,3
207954210,207907529,466953,-0.09279927,0.11383725,0.47538707,3
207993181,207979036,466953,-0.09413268,0.11771262,0.47376293,3
208097186,208050531,466953,-0.09942239,0.12396107,0.47188953,3
208136190,208122028,466953,-0.10072878,0.1254274,0.47178006,3
208240197,208193529,466953,-0.100454964,0.12187847,0.4724644,3
208279181,208265029,466953,-0.09946151,0.11866471,0.47325557,3
208383184,208336530,466953,-0.09696373,0.1164245,0.47408864,3
208422176,208408029,466953,-0.09500941,0.11451834,0.47488317,3
208526183,208479529,466953,-0.094252944,0.11562128,0.47410816,3
208565187,208551030,466953,-0.09085431,0.11384547,0.47551298,3
208669185,208622532,466953,-0.08267187,0.11249951,0.4772923,3
208708190,208694027,466953,-0.07653342,0.11143513,0.47858414,3
208812182,208765529,466953,-0.067729756,0.10784315,0.48128754,3
208851193,208837028,466953,-0.059722833,0.10772979,0.4819836,3
208955188,208908531,466953,-0.05441475,0.107797295,0.48326924,3
208994203,208980028,466953,-0.0489896,0.10827725,0.48340154,3
209098178,209051528,466953,-0.045902137,0.10924286,0.4832487,3
209137176,209123035,466953,-0.04092416,0.10953482,0.48406452,3
209241182,209194528,466953,-0.038468562,0.11041766,0.4836016,3
209280187,209266030,466953,-0.038378827,0.11267303,0.48290747,3
209384202,209337531,466953,-0.040221073,0.11352723,0.48159,3
209423202,209409028,466953,-0.040877014,0.114842445,0.48183143,3
209527181,209480529,466953,-0.036060467,0.11373034,0.4822198,3
209566201,209552027,466953,-0.028961517,0.11339124,0.48236817,3
209670185,209623531,466953,-0.017703341,0.11272354,0.48335338,3
209709195,209695031,466953,-0.0060203914,0.114923224,0.48234308,3
209813192,209766528,466953,0.0019560233,0.11584386,0.48271728,3
209852184,209838029,466953,0.0069726985,0.114192486,0.482918,3
209956187,209909531,466953,0.0049294163,0.113957256,0.48323882,3
209995180,209981029,466953,0.0003164002,0.11266401,0.48486418,3
210099183,210052529,466953,-0.005580592,0.11502542,0.48257092,3
210138184,210124028,466953,-0.00945076,0.11584681,0.48305643,3
210242184,210195531,466953,-0.01333732,0.11901279,0.4817302,3
210281184,210267028,466953,-0.014993859,0.12158726,0.48188198,3
210385190,210338529,466953,-0.013693364,0.11978544,0.48285714,3
210424198,210410035,466953,-0.013121586,0.118247114,0.48232016,3
210528176,210481528,466953,-0.011733552,0.11991188,0.4826349,3
210567180,210553029,466953,-0.01402682,0.1246916,0.4806332,3
210671183,210624529,466953,-0.015961044,0.13083959,0.47908705,3
210710186,210696035,466953,-0.019265274,0.13747315,0.47677156,3
210814181,210767528,466953,-0.019223861,0.13939807,0.47614098,3
210853195,210839028,466953,-0.021806916,0.1384366,0.47397655,3
210957185,210910531,466953,-0.027877312,0.13624644,0.47619843,3
210996188,210982028,466953,-0.033674777,0.12924843,0.47968388,3
211243213,211196530,466953,-0.038692474,0.12377632,0.47873724,3
211282175,211268028,466953,-0.037986618,0.12570475,0.47793555,3
211387419,211339681,466953,-0.04007583,0.1253171,0.4777542,3
211425187,211411029,466953,-0.044260018,0.12536529,0.47575045,3
211529203,211482531,466953,-0.053339995,0.12963203,0.47422427,3
211568191,211554027,466953,-0.06027521,0.13241246,0.47391614,3
211672190,211625529,466953,-0.06297791,0.12964347,0.4743203,3
211711183,211697028,466953,-0.06776142,0.12697189,0.476168,3
211815187,211768531,466953,-0.07052157,0.12483778,0.47895357,3
211854208,211840029,466953,-0.071729675,0.122750565,0.4808445,3
211958177,211911587,466953,-0.07062549,0.119617924,0.48277283,3
211997180,211983035,466953,-0.06973346,0.11653512,0.48534998,3
212101186,212054528,466953,-0.07108595,0.11593168,0.48432866,3
212140188,212126030,466953,-0.07217386,0.11501381,0.48111242,3
212244210,212197531,466953,-0.07363424,0.11773278,0.47968102,3
212283175,212269027,466953,-0.07551085,0.11972888,0.47718436,3
212387182,212340529,466953,-0.07904282,0.12002851,0.47519597,3
