timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
200066733,32767,32767,32767,32767,32767,32767
200071732,32767,32767,32767,32767,32767,32767
200076729,32767,32767,32767,32767,32767,32767
200081730,32767,32767,32767,32767,32767,32767
200086730,32767,32767,32767,32767,32767,32767
200216730,32767,32767,32767,32767,32767,32767
200221729,32767,32767,32767,32767,32767,32767
200226729,32767,32767,32767,-13,32767,32767
200231730,32767,32767,32767,32767,32767,32767
200236730,32767,32767,32767,32767,-46,32767
200241730,32767,32767,32767,32767,32767,32767
200246731,32767,32767,32767,32767,32767,32767
200251731,32767,32767,32767,32767,32767,32767
200256730,32767,32767,32767,32767,32767,32767
200261730,32767,32767,32767,32767,32767,32767
200266730,32767,32767,32767,32767,32767,32767
200271729,32767,32767,32767,32767,-6,32767
200276730,32767,32767,32767,32767,32767,32767
200281729,32767,32767,32767,32767,32767,32767
200286730,32767,32767,32767,32767,32767,32767
200291729,32767,32767,32767,32767,32767,32767
200296729,32767,32767,32767,32767,32767,32767
200301730,32767,32767,32767,32767,32767,32767
200306730,32767,32767,32767,32767,32767,32767
200311729,32767,32767,32767,3,32767,32767
200316736,32767,32767,32767,32767,32767,32767
200321730,32767,32767,32767,32767,32767,32767
200326729,32767,32767,32767,32767,32767,32767
200331734,32767,32767,32767,32767,32767,32767
200336733,32767,32767,32767,32767,32767,32767
200341730,32767,32767,32767,32767,32767,32767
200346730,32767,32767,32767,32767,32767,32767
200351730,32767,32767,32767,32767,32767,32767
200356730,32767,32767,32767,-14,32767,32767
200371729,32767,32767,32767,32767,32767,32767
200376730,32767,32767,32767,32767,-16,32767
200381730,32767,32767,32767,32767,32767,32767
200386733,32767,32767,32767,32767,32767,32767
200391729,32767,32767,32767,32767,32767,32767
200396730,32767,32767,32767,32767,32767,32767
200401729,32767,32767,32767,32767,32767,32767
200406729,32767,32767,32767,32767,32767,32767
200411730,32767,32767,32767,32767,32767,32767
200416730,32767,32767,32767,32767,-25,32767
200421730,32767,32767,32767,32767,32767,32767
200426730,32767,32767,32767,32767,32767,32767
200431730,32767,32767,32767,32767,32767,32767
200436731,32767,32767,32767,32767,32767,32767
200441730,32767,32767,32767,2,32767,32767
200446730,32767,32767,32767,32767,32767,32767
