timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
202864027,202673648,171865803351,0.00017725672,0.0019731743,0.005231383,0,0.24261343,0.22935633,0.021385977,0.021831464,0.0055700536,0.02196163,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,73.05753,73.66653,0.50987923,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
203064042,202873648,171865803351,0.0005086241,0.0024827092,0.0031423895,0,0.24272265,0.22949083,0.016333392,0.018600028,0.004933105,0.014899119,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,73.31606,73.66653,0.51053005,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
203264044,203073648,171865803351,0.00044155688,0.0011813466,0.0025210094,0,0.24278632,0.22960748,0.022840291,0.011681606,0.0058587836,0.011872258,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,73.04328,73.66653,0.50999546,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
203464098,203273648,171865803351,0.00051716954,0.0020450593,0.0036539587,0,0.24287169,0.22923979,0.021487927,0.026048439,0.004023297,0.012075707,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,73.23691,73.66653,0.510808,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
203664434,203473648,171865803351,0.0003046268,0.00075687305,0.0018290065,0,0.24298352,0.22937411,0.023638576,0.01801682,0.0037995297,0.019830536,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,72.99802,73.66653,0.509822,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
203864032,203673648,171865803351,0.0002764649,0.00057040027,0.0012599296,0,0.243101,0.22951707,0.016868081,0.024227014,0.0046188245,0.00875519,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,73.20985,73.66653,0.50972337,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
204064084,203873648,171865803351,0.0005944402,0.0042189476,0.0066512474,0,0.2432226,0.22966109,0.018908784,0.033733137,0.0050358325,0.014357874,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,73.15614,73.66653,0.5091941,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
204263944,204073648,171799743191,0.00034275075,0.0059244432,0.008892292,0,0.24330899,0.22979748,0.018039307,0.030061904,0.0022409537,0.013312708,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,73.17622,73.66653,0.50900996,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
204463946,204273648,171799743191,0.0003332612,0.0052722213,0.0066728406,0,0.2434219,0.22993742,0.02146245,0.032251384,0.0026424187,0.012513676,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,73.16472,73.66653,0.5086352,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
204664195,204473648,171799743191,0.00040466242,0.0056449776,0.006587979,0,0.24352427,0.23007241,0.02371158,0.024128368,0.0025450818,0.013095679,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,73.05291,73.66653,0.50769717,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
205063956,204873648,171799743191,0.0006884355,0.0036792946,0.005330484,0,0.2437029,0.23032308,0.037243523,0.018112494,0.0019690555,0.0132257445,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,73.03541,73.66653,0.50543344,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
205263956,205073648,171799743191,0.00050666655,0.0060995417,0.008746108,0,0.2437776,0.23043942,0.05493898,0.02406863,0.0029507342,0.012779519,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,72.84421,73.66653,0.50309956,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
205463961,205273648,171799743191,0.00053686154,0.002772305,0.0057365373,0,0.24387391,0.23057288,0.0755716,0.028325062,0.0022602149,0.01234136,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,72.54599,73.66653,0.5005814,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
205664172,205473648,171799743191,0.00089065044,0.004012609,0.0063713174,0,0.24396773,0.23070292,0.09771077,0.046294026,0.004294665,0.015486369,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,72.615685,73.66653,0.4971027,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
205863950,205673648,171799743191,0.0059597353,0.0046472484,0.003969813,0,0.24402165,0.23081598,0.09734425,0.03567644,0.0019843092,0.009478127,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,72.758316,73.66653,0.49671298,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
206063984,205873648,171799743191,0.014580054,0.00646047,0.0076305876,0,0.24409364,0.23043482,0.09821948,0.042342927,0.006092483,0.00902678,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,72.57436,73.66653,0.49686357,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
206263982,206073648,171799743191,0.012783985,0.0069306046,0.010216643,0,0.24418133,0.23054582,0.10686506,0.032422025,0.0038022252,0.008629579,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,72.72184,73.66653,0.49513456,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
206664176,206473648,171799743191,0.004260391,0.011240801,0.014944573,0,0.24431045,0.23073894,0.11260301,0.052461725,0.0059017437,0.009787438,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,72.766014,73.66653,0.494247,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
206863947,206673648,171799743191,0.0012838481,0.006916717,0.0088442825,0,0.24437228,0.23082706,0.09990836,0.06133731,0.0030566342,0.012623284,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,72.74548,73.66653,0.49617013,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
207063949,206873648,171799743191,0.006526321,0.009974383,0.013270041,0,0.24447241,0.23092978,0.10130101,0.04428572,0.0016616338,0.01080648,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,72.7769,73.66653,0.49589846,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
207263959,207073648,171799743191,0.012323167,0.012165418,0.014664094,0,0.24455182,0.2310205,0.10499361,0.08034704,0.003431208,0.019226512,0.0,nan,0.0,0.0,3407890,3407890,6780433,466953,72.76121,73.66653,0.49522802,0.5250894,0,0,831,3,2,3,2,2,0,0,0,0,0,0,0
