timestamp,timestamp_sample,device_id,pressure,temperature,error_count
200874880,200873934,6780433,101218.72,24.75,0
201870777,201869832,6780433,101215.66,24.74,0
202866695,202865732,6780433,101210.836,24.74,0
203862578,203861633,6780433,101215.71,24.76,0
204858477,204857532,6780433,101214.71,24.769999,0
205854396,205853432,6780433,101212.94,24.769999,0
206850335,206849390,6780433,101208.16,24.779999,0
207846178,207845233,6780433,101196.484,24.779999,0
208885419,208884474,6780433,101180.25,24.779999,0
209881277,209880332,6780433,101162.266,24.789999,0
211873143,211872133,6780433,101127.0,24.789999,0
212868978,212868033,6780433,101110.266,24.8,0
213864877,213863932,6780433,101111.79,24.8,0
214860777,214859832,6780433,101112.05,24.8,0
215856703,215855735,6780433,101101.39,24.8,0
216852580,216851632,6780433,101094.79,24.8,0
217848477,217847532,6780433,101090.5,24.8,0
218844390,218843431,6780433,101075.516,24.8,0
219883577,219882632,6780433,101070.43,24.789999,0
220879476,220878532,6780433,101068.39,24.789999,0
221875419,221874474,6780433,101068.64,24.789999,0
222871277,222870332,6780433,101062.766,24.769999,0
223867199,223866254,6780433,101063.26,24.76,0
224863153,224862132,6780433,101058.94,24.76,0
225858977,225858032,6780433,101057.66,24.75,0
226854878,226853932,6780433,101051.28,24.74,0
227850777,227849832,6780433,101049.96,24.72,0
228846677,228845732,6780433,101047.69,24.73,0
229885919,229884974,6780433,101042.836,24.71,0
230881777,230880832,6780433,101035.96,24.699999,0
231877690,231876745,6780433,101036.195,24.689999,0
232873580,232872632,6780433,101034.375,24.68,0
234865419,234864474,6780433,101034.61,24.66,0
235861277,235860332,6780433,101025.664,24.64,0
236857199,236856255,6780433,101025.66,24.64,0
237853146,237852132,6780433,101023.86,24.619999,0
238848979,238848033,6780433,101018.51,24.619999,0
239844877,239843932,6780433,101018.22,24.6,0
240884086,240883141,6780433,101021.23,24.58,0
241879978,241879032,6780433,101021.47,24.58,0
242875925,242874979,6780433,101021.97,24.58,0
243871776,243870832,6780433,101017.64,24.57,0
244867690,244866744,6780433,101018.39,24.57,0
245863578,245862633,6780433,101017.6,24.55,0
246859477,246858532,6780433,101021.875,24.539999,0
247855420,247854474,6780433,101014.75,24.529999,0
248851277,248850332,6780433,101011.945,24.529999,0
249847199,249846254,6780433,101004.086,24.529999,0
250886377,250885432,6780433,100995.46,24.519999,0
251882276,251881331,6780433,100993.91,24.51,0
252878177,252877231,6780433,100993.36,24.5,0
253874084,253873139,6780433,101005.79,24.5,0
254869977,254869032,6780433,101011.336,24.49,0
255865919,255864973,6780433,101014.87,24.48,0
257857690,257856745,6780433,101018.12,24.46,0
258853580,258852634,6780433,101011.51,24.449999,0
259849477,259848531,6780433,101013.766,24.449999,0
260845419,260844474,6780433,101004.6,24.43,0
261884576,261883631,6780433,101013.445,24.42,0
262880492,262879531,6780433,101015.47,24.42,0
263876377,263875432,6780433,101015.18,24.4,0
264872277,264871332,6780433,101013.4,24.4,0
265868187,265867233,6780433,101009.055,24.39,0
266864104,266863159,6780433,101012.086,24.38,0
267859977,267859032,6780433,101012.58,24.38,0
268855920,268854975,6780433,101009.51,24.369999,0
269851893,269850859,6780433,101009.23,24.359999,0
270847690,270846745,6780433,101010.23,24.35,0
271843577,271842633,6780433,101006.914,24.35,0
272882820,272881875,6780433,101007.41,24.34,0
273878677,273877732,6780433,101009.66,24.33,0
274874577,274873632,6780433,101011.16,24.32,0
275870494,275869532,6780433,101011.14,24.31,0
276866377,276865432,6780433,101012.11,24.3,0
277862277,277861332,6780433,101015.125,24.289999,0
278858185,278857239,6780433,101013.555,24.279999,0
280849976,280849032,6780433,101016.516,24.24,0
281845925,281844980,6780433,101015.43,24.22,0
282885080,282884135,6780433,101015.14,24.21,0
283880976,283880031,6780433,101008.25,24.189999,0
284876878,284875932,6780433,101011.73,24.17,0
285872838,285871893,6780433,101016.21,24.14,0
286868677,286867732,6780433,101017.12,24.1,0
287864576,287863631,6780433,101014.25,24.08,0
288860493,288859532,6780433,101014.41,24.05,0
289856376,289855432,6780433,101010.79,24.019999,0
290852279,290851332,6780433,101011.734,24.0,0
291848187,291847232,6780433,101006.57,23.97,0
292844112,292843167,6780433,101012.1,23.949999,0
293883298,293882333,6780433,101010.0,23.93,0
294879196,294878251,6780433,101011.47,23.92,0
295875077,295874132,6780433,101009.375,23.9,0
296870977,296870032,6780433,101001.484,23.88,0
298862816,298861871,6780433,100993.29,23.85,0
299858678,299857732,6780433,101004.375,23.83,0
300854579,300853633,6780433,101002.055,23.82,0
301850493,301849532,6780433,101009.35,23.81,0
302846378,302845432,6780433,101024.734,23.789999,0
303885621,303884632,6780433,101041.9,23.769999,0
304881477,304880532,6780433,101064.36,23.75,0
305877377,305876431,6780433,101082.0,23.73,0
306873301,306872333,6780433,101107.484,23.71,0
307869177,307868232,6780433,101129.914,23.68,0
308865077,308864132,6780433,101150.11,23.67,0
309861025,309860080,6780433,101121.68,23.65,0
310856881,310855932,6780433,101087.69,23.619999,0
311852842,311851896,6780433,101073.984,23.609999,0
312848676,312847732,6780433,101079.72,23.59,0
313844577,313843632,6780433,101084.98,23.57,0
314883777,314882832,6780433,101093.01,23.56,0
315879682,315878737,6780433,101101.05,23.539999,0
316875641,316874631,6780433,101105.78,23.519999,0
317871477,317870532,6780433,101118.39,23.51,0
318867377,318866432,6780433,101128.71,23.5,0
319863298,319862333,6780433,101142.055,23.48,0
320859195,320858250,6780433,101155.164,23.47,0
321855077,321854132,6780433,101164.21,23.449999,0
322850983,322850035,6780433,101179.57,23.43,0
323846896,323845932,6780433,101188.914,23.43,0
324886077,324885132,6780433,101197.69,23.41,0
325881977,325881032,6780433,101197.39,23.4,0
326877934,326876989,6780433,101203.41,23.39,0
327873777,327872832,6780433,101206.414,23.38,0
328869686,328868741,6780433,101205.87,23.369999,0
329865637,329864632,6780433,101204.8,23.359999,0
330861477,330860532,6780433,101202.47,23.34,0
331857378,331856433,6780433,101207.016,23.34,0
332853277,332852332,6780433,101203.68,23.33,0
333849177,333848232,6780433,101208.18,23.32,0
334845077,334844132,6780433,101208.9,23.31,0
335884277,335883332,6780433,101208.37,23.3,0
336880190,336879245,6780433,101206.78,23.289999,0
337876078,337875132,6780433,101209.78,23.279999,0
339867932,339866987,6780433,101209.16,23.25,0
340863777,340862833,6780433,101210.37,23.24,0
341859695,341858748,6780433,101206.766,23.23,0
342855621,342854631,6780433,101205.44,23.21,0
343851477,343850533,6780433,101207.18,23.199999,0
344847376,344846432,6780433,101209.16,23.189999,0
345886579,345885635,6780433,101207.555,23.17,0
346882492,346881532,6780433,101206.234,23.16,0
347878397,347877453,6780433,101207.414,23.14,0
348874279,348873334,6780433,101206.35,23.13,0
349870190,349869245,6780433,101209.62,23.119999,0
350866077,350865132,6780433,101208.766,23.1,0
351861988,351861031,6780433,101208.98,23.09,0
352857922,352856977,6780433,101210.445,23.08,0
353853777,353852832,6780433,101208.62,23.07,0
354849686,354848741,6780433,101210.86,23.06,0
355845648,355844632,6780433,101213.6,23.05,0
356884788,356883843,6780433,101211.29,23.05,0
357880686,357879731,6780433,101214.78,23.029999,0
358876577,358875632,6780433,101216.54,23.029999,0
359872501,359871533,6780433,101212.93,23.019999,0
