timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
200052446,nan,nan,nan,0.0006342713,-0.010849295,1.0,-0.0138112465,0.23624317,0.0,nan,nan,0.0,nan,2.5421758
200072369,nan,nan,nan,0.00062256446,-0.010630278,1.0,-0.013740008,0.23461042,0.0,nan,nan,0.0,nan,2.5421772
200262313,nan,nan,nan,0.0007807397,-0.007045185,1.0,-0.024435015,0.22049502,0.0,nan,nan,0.0,nan,2.5421824
200452648,nan,nan,nan,0.00054681656,-0.01058863,1.0,-0.011049312,0.21396036,0.0,nan,nan,0.0,nan,2.542183
200662572,nan,nan,nan,0.0016332545,-0.007305106,1.0,-0.04453259,0.19918226,0.0,nan,nan,0.0,nan,2.5080519
200862304,nan,nan,nan,-0.00048533868,-0.0035529435,1.0,0.024229474,0.17737298,0.0,nan,nan,0.0,nan,0.5872386
201062286,nan,nan,nan,0.00011803363,-0.005086641,1.0,-0.0040744822,0.17558916,0.0,nan,nan,0.0,nan,0.06493535
201262288,nan,nan,nan,-0.00062812085,-0.0021230131,1.0,0.044563964,0.15062371,0.0,nan,nan,0.0,nan,0.007105778
201452571,nan,nan,nan,-0.0026153037,-0.0043886406,1.0,0.09036689,0.15164123,0.0,nan,nan,0.0,nan,0.00085319084
201662548,nan,nan,nan,-0.001536096,-0.0013835011,1.0,0.11588184,0.10437019,0.0,nan,nan,0.0,nan,8.575579e-05
201862248,nan,nan,nan,-0.0024762605,-0.0012401612,0.9912364,0.14922208,0.07473344,-0.238112,nan,nan,-8.0,nan,9.410795e-06
202052353,nan,nan,nan,-0.0054743597,-0.0035463434,0.9756351,0.14431721,0.093490094,-0.078656,nan,nan,-8.0,nan,1.1327555e-06
202262294,nan,nan,nan,-0.0053923824,-0.003710307,0.9545614,0.17758648,0.12219092,-0.236112,nan,nan,-8.0,-2.1887054,1.1500335e-07
202452580,nan,nan,-2.9625602,-0.0073619434,-0.002281096,0.93811667,0.19712755,0.061079927,-0.15984,nan,nan,-8.0,-2.188629,1.3958428e-08
202662579,nan,nan,-2.9514127,-0.007907832,0.0008333054,0.91855955,0.20796892,-0.021915188,-0.16052,nan,nan,-8.0,-2.1884634,1.3895354e-09
202862290,nan,nan,-2.943489,-0.0068132565,0.00017050983,0.901049,0.21946535,-0.0054923804,-0.239496,nan,nan,-8.0,-2.1883178,1.5258382e-10
203052350,nan,nan,-2.9315546,-0.011017296,-0.00081422867,0.88466984,0.21728049,0.016058022,-0.07852,nan,nan,-8.0,-2.188105,1.8556155e-11
203262268,nan,nan,nan,-0.009015484,-0.0011969074,0.86437196,0.24010254,0.031876326,-0.237856,nan,nan,-8.0,-2.1878488,1.8662578e-12
203452531,0.0061271894,-1.0153669,nan,0.0,0.0,0.77082866,0.0,0.0,-1.202304,nan,nan,-8.0,-2.1878273,2.241847e-13
203662553,0.0061271894,-1.0153669,nan,0.0,0.0,0.34188724,0.0,0.0,-2.882464,nan,nan,-8.0,-2.1878273,2.2307973e-14
203862302,0.0061271894,-1.0153669,nan,0.0,0.0,-0.3123304,0.0,0.0,-3.035225,nan,nan,8.0,-2.1878273,2.4471824e-15
204062247,0.0061271894,-1.0153669,nan,0.0,0.0,-0.9522456,0.0,0.0,-2.9604177,nan,nan,8.0,-2.1878273,2.6549695e-16
204262331,0.0061271894,-1.0153669,nan,0.0,0.0,-1.3844435,0.0,0.0,-1.3597457,nan,nan,8.0,-2.1878273,2.9325277e-17
204452601,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.1878273,3.55763e-18
204652345,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.1878273,3.9445945e-19
205062289,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.1878273,4.346033e-21
205262275,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.1878273,4.757346e-22
205452539,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.1878273,5.7143014e-23
205662524,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.1878273,5.6306276e-24
205862261,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.1878273,6.120461e-25
206062284,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.1878273,6.633849e-26
206262319,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.1878273,7.2566136e-27
206652348,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.0716343,9.569873e-29
206862338,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.0716343,9.5251545e-30
207062291,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.0716343,1.0336667e-30
207262262,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.0716343,1.1421846e-31
207452532,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.0716343,1.3721866e-32
207662256,0.0061271894,-1.0153669,nan,0.0,0.0,-1.5,0.0,0.0,0.0,nan,nan,0.0,-2.0716343,1.3428322e-33
207862275,nan,nan,nan,-0.07226242,0.0030852773,-1.5,0.1353055,-0.05526092,0.0,nan,nan,0.0,-2.0716343,1.4693302e-34
