timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
200402544,3266927797,0,0,1,0
202432858,3266927797,0,0,1,0
204452898,3266927797,0,0,1,0
206482510,3266927797,0,0,1,0
208502529,3266927797,0,0,1,0
210533035,3266927797,0,0,1,0
212552630,3266927797,0,0,1,0
214582507,3266927797,0,0,1,0
216602698,3266927797,0,0,1,0
218632777,3266927797,0,0,1,0
220652506,3266927797,0,0,1,0
222672513,3266927797,0,0,1,0
224702611,3266927797,0,0,1,0
226742453,3266927797,0,0,1,0
228762765,3266927797,0,0,1,0
230792440,3266927797,0,0,1,0
234832438,3266927797,0,0,1,0
236862569,3266927797,0,0,1,0
238882549,3266927797,0,0,1,0
240892510,3266927797,0,0,1,0
242912442,3266927797,0,0,1,0
244942681,3266927797,0,0,1,0
246962497,3266927797,0,0,1,0
248982582,3266927797,0,0,1,0
251012538,3266927797,0,0,1,0
253032523,3266927797,0,0,1,0
255062522,3266927797,0,0,1,0
257082498,3266927797,0,0,1,0
259112501,3266927797,0,0,1,0
261132463,3266927797,0,0,1,0
263162542,3266927797,0,0,1,0
265182528,3266927797,0,0,1,0
267202462,3266927797,0,0,1,0
269232909,3266927797,0,0,1,0
271252444,3266927797,0,0,1,0
273282512,3266927797,0,0,1,0
275302515,3266927797,0,0,1,0
277332610,3266927797,0,0,1,0
281372494,3266927797,0,0,1,0
283402445,3266927797,0,0,1,0
285422458,3266927797,0,0,1,0
287452632,3266927797,0,0,1,0
289472510,3266927797,0,0,1,0
291478430,3266927797,0,0,1,0
293481110,3266927797,0,0,1,0
295482547,3266927797,0,0,1,0
299532620,3266927797,0,0,1,0
301578401,3266927797,0,0,1,0
303580151,3266927797,0,0,1,0
305582420,3266927797,0,0,1,0
307632436,3266927797,0,0,1,0
309652458,3266927797,0,0,1,0
311682539,3266927797,0,0,1,0
313712428,3266927797,0,0,1,0
315732438,3266927797,0,0,1,0
317772769,3266927797,0,0,1,0
319774642,3266927797,0,0,1,0
321776635,3266927797,0,0,1,0
323778447,3266927797,0,0,1,0
325780153,3266927797,0,0,1,0
327782682,3266927797,0,0,1,0
329832435,3266927797,0,0,1,0
331874448,3266927797,0,0,1,0
333878431,3266927797,0,0,1,0
335882648,3266927797,0,0,1,0
337932828,3266927797,0,0,1,0
339975284,3266927797,0,0,1,0
341978405,3266927797,0,0,1,0
343981168,3266927797,0,0,1,0
346032745,3266927797,0,0,1,0
348032774,3266927797,0,0,1,0
350080151,3266927797,0,0,1,0
354132732,3266927797,0,0,1,0
356132930,3266927797,0,0,1,0
358173272,3266927797,0,0,1,0
359167256,3266927797,0,0,1,0
