timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
200062335,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1898737,0.0
200072392,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1898775,0.0
200262336,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1898527,0.0
200462298,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1899707,0.0
200562339,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.189744,0.0
200662599,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1897638,0.0
200762293,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1897647,0.0
200862327,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1895204,0.0
200962337,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1895194,0.0
201062310,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1895223,0.0
201162534,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1893747,0.0
201262310,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1894007,0.0
201362301,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1892998,0.0
201462242,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1891398,0.0
201562271,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.189135,0.0
201662571,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1890385,0.0
201762271,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1889389,0.0
201862271,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1888769,0.0
201962252,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.188822,0.0
202062280,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1888056,0.0
202162562,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.188765,0.0
202262317,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1887054,0.0
202362346,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1886692,0.0
202462284,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1885953,0.0
202562357,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1885686,0.0
202662603,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1884634,0.0
202762285,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1883512,0.0
202862313,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1883178,0.0
202962321,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1882322,0.0
203062247,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1881359,0.0
203162545,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1880028,0.0
203262291,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.001,-2.1878488,0.0
203362278,nan,nan,nan,-0.004489049,-0.00031721563,2.3244498,0.20640355,0.025352648,9.304013,0.00053939706,6.6254404e-05,-0.025627354,-2.1878273,6.174839e-13
203462262,0.0061271894,-1.0153669,nan,0.0015673124,0.0009856045,2.142735,0.0280443,0.01413263,9.004743,0.00011690649,5.8913796e-05,-0.04088591,-2.1878273,2.241847e-13
203562283,0.0061271894,-1.0153669,nan,0.004768824,0.0018081308,1.961013,0.035412524,0.013916162,8.665164,0.00020909762,8.2169696e-05,-0.0581996,-2.1878273,6.763455e-14
203662576,0.0061271894,-1.0153669,nan,0.007563317,0.0019932925,1.779291,0.04256586,0.019324005,8.291274,0.00033570212,0.0001524017,-0.07726268,-2.1878273,2.2307973e-14
203762277,0.0061271894,-1.0153669,nan,0.00925396,0.0026747107,1.5975691,0.047647074,0.0074920384,7.877638,0.00047677718,7.4968564e-05,-0.09835226,-2.1878273,7.400154e-15
