timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
201162443,201161729,42042859,60.1877325,24.832678599999998,0.043482453,-0.9924842,-3.031777,0.2201162,0.143384,-2.0861626e-07,-0.0001713185,-0.008050515,0.043050215,0.068455994,-0.025945434,0.04994766,0.011585729,-0.037032094,-0.30514342,-0.010197054,-2.1893747,0.05087788,-0.006245036,0.00729649,6.488178e-05,-9.646487,0.09133315,0.24129027,0.2281636,0.10897972,0.06482171,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
201262240,201261730,42042859,60.1877325,24.832678599999998,0.0420831,-0.99368626,-3.0251677,0.2201162,0.143384,-2.0861626e-07,-0.0020066642,-0.007707079,0.045466892,0.070462964,-0.025945434,0.04994766,0.011585729,-0.03714886,0.20785028,-0.10752701,-2.1894007,0.050877623,-0.006343972,0.00729649,6.489319e-05,-9.646487,0.0893693,0.24137594,0.22800976,0.109018475,0.06480512,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
201362214,201361729,42042859,60.1877325,24.832678599999998,0.040233534,-0.9958576,-3.0189517,0.2201162,0.143384,-2.0861626e-07,-0.0047125607,-0.008104591,0.048669137,0.07267338,-0.025945434,0.04994766,0.011585729,-0.18378325,0.15353106,0.24482217,-2.1892998,0.050876822,-0.006354611,0.00729649,6.4890366e-05,-9.646487,0.08786082,0.24143313,0.22832803,0.109013274,0.06483293,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
201462201,201461729,42042859,60.1877325,24.832678599999998,0.038774643,-0.99706024,-3.0127645,0.2201162,0.143384,-2.0861626e-07,-0.003917438,-0.00678797,0.049983684,0.072901845,-0.025945434,0.04994766,0.011585729,-0.11005966,0.02385287,0.066727206,-2.1891398,0.050875228,-0.0062862174,0.00729649,6.490096e-05,-9.646487,0.08783388,0.24151427,0.22817142,0.10902308,0.06481609,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
201562201,201561729,42042859,60.1877325,24.832678599999998,0.037207004,-0.9974032,-3.0066006,0.2201162,0.143384,-2.0861626e-07,-0.004540628,-0.0051538963,0.051588684,0.07336482,-0.025945434,0.04994766,0.011585729,0.020735277,0.16358915,0.09781655,-2.189135,0.05087458,-0.006358487,0.00729649,6.490844e-05,-9.646487,0.08611989,0.2415946,0.22849695,0.109053805,0.06484967,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
201662501,201661729,42042859,60.1877325,24.832678599999998,0.036251053,-0.99764097,-3.0011814,0.2201162,0.143384,-2.0861626e-07,-0.0054840427,-0.004694833,0.052842267,0.07270997,-0.025945434,0.04994766,0.011585729,0.23956436,-0.068364374,0.06003733,-2.1890385,0.050872516,-0.006318353,0.00729649,6.4918786e-05,-9.646487,0.08331156,0.24167436,0.22834031,0.10906206,0.0648325,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
201762200,201761729,42042859,60.1877325,24.832678599999998,0.034764204,-0.9981818,-2.9960675,0.2201162,0.143384,-2.0861626e-07,-0.0056148153,-0.00444968,0.055158276,0.072922535,-0.025945434,0.04994766,0.011585729,0.16795836,-0.13515872,0.24557245,-2.1889389,0.05087144,-0.006290759,0.00729649,6.492593e-05,-9.646487,0.08366346,0.2417537,0.22866434,0.10909445,0.06486569,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
201862200,201861729,42042859,60.1877325,24.832678599999998,0.03323846,-0.99839157,-2.9907284,0.2201162,0.143384,-2.0861626e-07,-0.007339923,-0.0033905571,0.05525342,0.07123677,-0.025945434,0.04994766,0.011585729,-0.07852047,0.0027980541,0.040851343,-2.1888769,0.05087103,-0.0063026245,0.00729649,6.493568e-05,-9.646487,0.08366203,0.24182904,0.22850499,0.10912148,0.06484797,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
201962212,201961729,42042859,60.1877325,24.832678599999998,0.03267278,-0.99896884,-2.9856768,0.2201162,0.143384,-2.0861626e-07,-0.00817986,-0.003316637,0.057215095,0.07120166,-0.025945434,0.04994766,0.011585729,0.14918527,0.26313818,0.050902173,-2.188822,0.050868418,-0.0063058264,0.00729649,6.493155e-05,-9.646487,0.08113599,0.24187939,0.22881782,0.10907626,0.06487407,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
202062240,202061729,42042859,60.1877325,24.832678599999998,0.03299444,-1.0007432,-2.98152,0.2201162,0.143384,-2.0861626e-07,-0.0069056586,-0.005949883,0.05823575,0.06950249,-0.025945434,0.04994766,0.011585729,0.08166461,-0.27319288,0.00089639926,-2.1888056,0.050868142,-0.006321593,0.00729649,6.4932865e-05,-9.646487,0.08017492,0.24193063,0.22864829,0.10906891,0.064850174,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
202162491,202161729,42042859,60.1877325,24.832678599999998,0.03129791,-1.0032032,-2.9770799,0.2201162,0.143384,-2.0861626e-07,-0.00938252,-0.006086074,0.05898941,0.067991845,-0.025945434,0.04994766,0.011585729,0.02125463,0.15378733,-0.020321136,-2.188765,0.050865937,-0.0063417894,0.00729649,6.4930755e-05,-9.646487,0.08223677,0.24197486,0.22895977,0.109028086,0.06487665,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
202262246,202261729,42042859,60.1877325,24.832678599999998,0.028366426,-1.0053842,-2.9718392,0.2201162,0.143384,-2.0861626e-07,-0.010615929,-0.0062330225,0.06225856,0.06991292,-0.025945434,0.04994766,0.011585729,0.11106353,-0.011874517,0.4889422,-2.1887054,0.050865278,-0.0063729966,0.00729649,6.494366e-05,-9.646487,0.082834244,0.24205081,0.2287958,0.109065756,0.06485916,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
202362276,202361729,42042859,60.1877325,24.832678599999998,0.026419705,-1.0057315,-2.9663844,0.2201162,0.143384,-2.0861626e-07,-0.0098482855,-0.005469361,0.061484303,0.0680035,-0.025945434,0.04994766,0.011585729,0.14784078,-0.11797559,-0.061538264,-2.1886692,0.050864268,-0.0063862265,0.00729649,6.494238e-05,-9.646487,0.08239102,0.24209882,0.22861968,0.10905679,0.0648346,inf,inf,inf,inf,1,1,1,1,3,2,3,2,2,0,1,1,1,0,0
