timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
219001949,219001729,3407898,3407898,-8.184243e-05,-0.0012418474,-0.0004892485,-0.016713483,-0.0023213879,-0.034377217,5000,5000,0,0,1,1
219501907,219501729,3407898,3407898,-2.6721475e-05,-0.0003553713,0.00035059152,0.0061866813,0.024293154,-0.04844802,5000,5000,0,0,1,1
220001909,220001730,3407898,3407898,-0.00035205847,-0.00018415616,8.760934e-05,-0.025333002,0.0032221617,-0.053782336,5001,5001,0,0,1,1
221001944,221001729,3407898,3407898,-0.0008326464,7.619102e-05,0.00024768498,0.0025262493,0.013024375,-0.029726544,5000,5000,0,0,1,1
221501907,221501729,3407898,3407898,-0.0006839436,-0.0003141653,0.00019990792,0.0015949593,0.0041797883,-0.051350225,5000,5000,0,0,1,1
222001914,222001729,3407898,3407898,0.0008444593,-0.0007507514,0.00023527526,-0.015848197,-0.0025713497,-0.054735117,5000,5000,0,0,1,1
222501925,222501729,3407898,3407898,0.00060862093,0.00060569413,-0.0005654232,-0.009243878,-3.3468846e-06,-0.053958118,5000,5000,0,0,1,1
223001929,223001729,3407898,3407898,-0.00014772723,0.00010772986,-0.0002074273,-0.005129518,-0.011742024,-0.05169239,5000,5000,0,0,1,1
223501908,223501729,3407898,3407898,0.0007342594,0.0001243255,0.00081366923,-0.0010049025,0.005786351,-0.05242576,5000,5000,0,0,1,1
224001907,224001729,3407898,3407898,-0.0005697064,-0.000304295,-0.00051135325,-0.011912819,0.012676039,-0.045565493,5000,5000,0,0,1,1
224501929,224501729,3407898,3407898,-0.00057287526,0.00042243954,-0.0004997378,0.009935101,0.0049382793,-0.045709275,5000,5000,0,0,1,1
225001932,225001729,3407898,3407898,0.00022357449,-0.00026036365,6.0367656e-05,-0.002083099,0.007497711,-0.04768955,5000,5000,0,0,1,1
226001917,226001729,3407898,3407898,0.00076540397,0.00039783132,0.0002938084,0.011210412,-0.0029527629,-0.037459794,5000,5000,0,0,1,1
226501926,226501729,3407898,3407898,-5.3227282e-05,0.00047469404,0.00011525026,-0.019785542,-0.010107407,-0.0355818,5000,5000,0,0,1,1
227001927,227001729,3407898,3407898,1.0974468e-05,0.00083887775,-0.00036394043,-0.012931872,-0.011845777,-0.043294262,5000,5000,0,0,1,1
227501908,227501729,3407898,3407898,0.00014263927,0.0006521579,-0.00026391895,-0.010995024,-0.004320723,-0.03380342,5000,5000,0,0,1,1
228001909,228001729,3407898,3407898,0.0002119987,0.00087911804,0.00089971465,-0.01451303,-0.0058341175,-0.03180298,5000,5000,0,0,1,1
228501925,228501729,3407898,3407898,-0.0017674224,0.0005078813,0.00018345175,-0.0044093602,0.004174876,-0.044488773,5000,5000,0,0,1,1
229001929,229001729,3407898,3407898,0.0004263826,0.00074378523,-0.00056396687,-0.009699729,-0.005450604,-0.036852363,5000,5000,0,0,1,1
229501923,229501729,3407898,3407898,-0.00024094853,0.0005823914,0.00014006945,-0.014890276,0.0055643045,-0.04274084,5000,5000,0,0,1,1
230001917,230001729,3407898,3407898,-0.00010950016,0.00053299963,-0.00020065933,0.0025987444,-0.0048794453,-0.02633719,5000,5000,0,0,1,1
230501930,230501729,3407898,3407898,4.0984945e-05,0.000835923,-0.00023399606,0.0047077117,-0.013740171,-0.052896388,5000,5000,0,0,1,1
231001933,231001729,3407898,3407898,-3.9819366e-05,9.0150446e-05,0.00010729761,0.001524765,0.011058703,-0.046231378,5000,5000,0,0,1,1
231501907,231501729,3407898,3407898,-0.0003464194,0.0004857915,3.3765788e-05,-0.014796777,-0.0063551343,-0.0458896,5000,5000,0,0,1,1
232001906,232001729,3407898,3407898,-0.00026462696,0.00032015276,-0.0001012495,0.0039499705,0.0053091007,-0.05575312,5000,5000,0,0,1,1
232501906,232501729,3407898,3407898,-8.910545e-05,-9.503486e-05,0.00021614431,-0.008741129,-0.00018316713,-0.035815533,5000,5000,0,0,1,1
233001925,233001729,3407898,3407898,0.0010367583,-0.0008591121,-0.0003474954,-0.007863915,-0.002327458,-0.04823312,5000,5000,0,0,1,1
233501926,233501729,3407898,3407898,0.00018060855,0.0005747764,-0.0005351832,-0.004781756,0.008364979,-0.04426079,5000,5000,0,0,1,1
235001926,235001729,3407898,3407898,-0.00073086575,-0.0024489372,-0.00018368293,-0.009780966,0.0059382273,-0.058372688,4999,4999,0,0,1,1
235501937,235501729,3407898,3407898,-0.0010209347,-0.0007319881,-8.3678264e-05,0.0093698455,-0.0057002055,-0.046935186,5000,5000,0,0,1,1
236001907,236001729,3407898,3407898,-0.0002939357,-0.0013909809,0.0002052171,0.0074698892,0.0032445304,-0.054646537,5000,5000,0,0,1,1
236501914,236501729,3407898,3407898,-9.7756405e-05,-0.0017554621,-0.0005591744,-0.003316487,0.005548224,-0.05952619,5000,5000,0,0,1,1
237001924,237001729,3407898,3407898,-0.00046797274,-0.0022139251,-9.637347e-05,-0.011363917,0.0036689227,-0.039484423,5000,5000,0,0,1,1
237501930,237501729,3407898,3407898,-0.00025213687,0.0002405226,0.00049503794,-0.0010943101,-0.0022529305,-0.042526107,5000,5000,0,0,1,1
238001907,238001729,3407898,3407898,-0.00042098886,-0.00019629287,0.00022549534,-0.007864666,0.019836199,-0.051897533,5000,5000,0,0,1,1
238501943,238501729,3407898,3407898,-0.00021056633,-0.00051926245,0.00014712667,-0.0010034905,0.004101306,-0.044307,5000,5000,0,0,1,1
239001928,239001729,3407898,3407898,-0.0011699039,-0.0012029435,-0.0006060967,-0.0023923074,-0.0008313081,-0.0533488,5000,5000,0,0,1,1
239501925,239501729,3407898,3407898,0.000120764285,0.00036119635,-0.00038604907,0.013861241,-0.0031922325,-0.053465877,5000,5000,0,0,1,1
240001907,240001729,3407898,3407898,-0.0014497861,-0.00034745404,-0.00018955028,-0.00039625255,-0.0048914147,-0.043683186,5000,5000,0,0,1,1
240501909,240501729,3407898,3407898,-0.0009785612,-0.00057678146,4.275963e-05,-0.021408737,-0.0010060737,-0.055113625,5000,5000,0,0,1,1
