timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
199999199,-0.00054208626,0,0,0,0,0,0,0,0,0
200502915,0.010389908,0,0,0,0,0,0,0,0,0
201009893,0.034229737,0,0,0,0,0,0,0,0,0
201516674,0.07258222,0,0,0,0,0,0,0,0,0
202022893,0.08953164,0,0,0,0,0,0,0,0,0
202529894,0.112327345,0,0,0,0,0,0,0,0,0
203036340,0.11821854,0,0,0,0,0,0,0,0,0
203542628,0.12710461,0,0,0,0,0,0,0,0,0
204047915,0.2529028,0,0,0,0,0,0,0,0,0
204554912,0.21676067,0,0,0,0,0,0,0,0,0
205063040,-0.18959562,0,0,0,0,0,0,0,0,0
205569051,-0.06625304,0,0,0,0,0,0,0,0,0
206074894,0.035950717,0,0,0,0,0,0,0,0,0
207087222,-0.053220354,0,0,0,0,0,0,0,0,0
207592893,-0.014351417,0,0,0,0,0,0,0,0,0
208099120,-0.041228883,0,0,0,0,0,0,0,0,0
208604893,-0.027077625,0,0,0,0,0,0,0,0,0
209110915,-0.012827717,0,0,0,0,0,0,0,0,0
209617112,0.035391916,0,0,0,0,0,0,0,0,0
210122907,0.092462815,0,0,0,0,0,0,0,0,0
210629052,0.17410162,0,0,0,0,0,0,0,0,0
211640925,0.5684963,0,0,0,0,0,0,0,0,0
212147172,0.8136406,0,0,0,0,0,0,0,0,0
212654029,0.95329726,0,0,0,0,0,0,0,0,0
213160925,1.1975508,0,0,0,0,0,0,0,0,0
213667893,1.1904304,0,0,0,0,0,0,0,0,0
214174272,1.1103547,0,0,0,0,0,0,0,0,0
214679893,1.1512357,0,0,0,0,0,0,0,0,0
215187227,1.2136241,0,0,0,0,0,0,0,0,0
215692924,1.5325725,0,0,0,0,0,0,0,0,0
216198893,1.9362588,0,0,0,0,0,0,0,0,0
216704897,2.1535912,0,0,0,0,0,0,0,0,0
217210912,2.5001278,0,0,0,0,0,0,0,0,0
217717084,2.9718492,0,0,0,0,0,0,0,0,0
218222922,3.438766,0,0,0,0,0,0,0,0,0
218728892,3.9300492,0,0,0,0,0,0,0,0,0
219234947,4.0275545,0,0,0,0,0,0,0,0,0
219740902,4.1708417,0,0,0,0,0,0,0,0,0
220247167,4.3302145,0,0,0,0,0,0,0,0,0
221258895,4.6723843,0,0,0,0,0,0,0,0,0
221764894,4.437061,0,0,0,0,0,0,0,0,0
222270925,4.4578424,0,0,0,0,0,0,0,0,0
222777112,4.028752,0,0,0,0,0,0,0,0,0
223282926,3.5402474,0,0,0,0,0,0,0,0,0
223788892,3.25639,0,0,0,0,0,0,0,0,0
