timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
219192246,1043527,1,3407898,6780433,3407898,466953,0.040059045,0.05282926,0.051890038,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
220202213,1043527,1,3407898,6780433,3407898,466953,0.033930592,0.030143555,0.035713032,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
221202274,1043527,1,3407898,6780433,3407898,466953,0.03086023,0.04868351,0.048668258,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
222212201,1043527,1,3407898,6780433,3407898,466953,0.05056752,0.054809995,0.052177705,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
223212261,1043527,1,3407898,6780433,3407898,466953,0.037040353,0.061000794,0.059202153,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
224222198,1043527,1,3407898,6780433,3407898,466953,0.023908937,0.03534403,0.0342026,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
225222273,1043527,1,3407898,6780433,3407898,466953,0.03757228,0.042868935,0.044928495,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
226232236,1043527,1,3407898,6780433,3407898,466953,0.044616576,0.04323776,0.05082223,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
227232261,1043527,1,3407898,6780433,3407898,466953,0.024775231,0.046404094,0.045733098,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
228232371,1043527,1,3407898,6780433,3407898,466953,0.021782294,0.042726025,0.045440454,nan,nan,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
