timestamp,speed_up,speed_down,want_takeoff
201042490,3.0,1.5,0
202052354,3.0,1.5,0
203052351,3.0,1.5,0
204042489,3.0,1.5,1
205032340,3.0,1.5,1
206042498,3.0,1.5,1
207042538,3.0,1.5,1
208042447,3.0,1.5,1
209032571,3.0,1.5,1
210032511,3.0,1.5,1
212032669,3.0,1.5,1
213032518,3.0,1.5,1
214032452,3.0,1.5,1
215052356,3.0,1.5,1
216032670,3.0,1.5,1
217032691,3.0,1.5,1
218032671,3.0,1.5,1
219032522,3.0,1.5,1
220032523,3.0,1.5,1
221042680,3.0,1.5,1
222042673,3.0,1.5,1
223042672,3.0,1.5,1
224042647,3.0,1.5,1
225042678,3.0,1.5,1
226032536,3.0,1.5,1
227042700,3.0,1.5,1
228042644,3.0,1.5,1
229052511,3.0,1.5,1
230052429,3.0,1.5,1
231052459,3.0,1.5,1
232052445,3.0,1.5,1
233052507,3.0,1.5,1
235052499,3.0,1.5,1
236052442,3.0,1.5,1
237052490,3.0,1.5,1
238052434,3.0,1.5,1
239042523,3.0,1.5,1
239152360,3.0,1.5,1
289782386,3.0,1.5,1
289802311,3.0,1.5,1
290782234,3.0,1.5,1
291782275,3.0,1.5,1
292782240,3.0,1.5,1
293782276,3.0,1.5,1
294782238,3.0,1.5,1
295782324,3.0,1.5,1
296782268,3.0,1.5,1
297782250,3.0,1.5,1
298782221,3.0,1.5,0
299772524,3.0,1.5,0
300772361,3.0,1.5,0
301782386,3.0,1.5,0
303782260,3.0,1.5,0
304782231,3.0,1.5,0
305782263,3.0,1.5,0
306772512,3.0,1.5,0
307772515,3.0,1.5,0
308272497,3.0,1.5,0
310272700,3.0,1.5,0
310772437,3.0,1.5,0
311772570,3.0,1.5,0
312772512,3.0,1.5,0
313772516,3.0,1.5,0
314772505,3.0,1.5,0
315772512,3.0,1.5,0
316782418,3.0,1.5,0
318772512,3.0,1.5,0
319772447,3.0,1.5,0
320772532,3.0,1.5,0
321772425,3.0,1.5,0
322782542,3.0,1.5,0
323782419,3.0,1.5,0
324782459,3.0,1.5,0
325782430,3.0,1.5,0
326782464,3.0,1.5,0
327772522,3.0,1.5,0
328782490,3.0,1.5,0
329782417,3.0,1.5,0
330782452,3.0,1.5,0
331782491,3.0,1.5,0
332772418,3.0,1.5,0
333782490,3.0,1.5,0
334772392,3.0,1.5,0
335782511,3.0,1.5,1
336782510,3.0,1.5,0
337772411,3.0,1.5,0
338782529,3.0,1.5,0
339782242,3.0,1.5,0
340772445,3.0,1.5,0
341782352,3.0,1.5,0
342772413,3.0,1.5,0
343782216,3.0,1.5,0
344772415,3.0,1.5,0
345772385,3.0,1.5,0
346782258,3.0,1.5,0
347772365,3.0,1.5,0
348772418,3.0,1.5,0
349772363,3.0,1.5,0
350772339,3.0,1.5,0
351782217,3.0,1.5,0
352782254,3.0,1.5,0
353772363,3.0,1.5,0
354772417,3.0,1.5,0
355772393,3.0,1.5,0
356772415,3.0,1.5,0
357772356,3.0,1.5,0
358772413,3.0,1.5,0
359772391,3.0,1.5,0
