timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
303384080,1743089392350102,-1743089088966622,-1743089088977307,1192,2
304388027,1743089393353874,-1743089088966175,-1743089088977262,651,2
305393539,1743089394359015,-1743089088965949,-1743089088977216,810,2
306398332,1743089395363527,-1743089088965695,-1743089088977170,993,2
307403320,1743089396368521,-1743089088965531,-1743089088977123,655,2
308408162,1743089397373021,-1743089088965270,-1743089088977075,815,2
309413484,1743089398378124,-1743089088965004,-1743089088977027,720,2
310417997,1743089399382367,-1743089088964720,-1743089088976978,694,2
311423312,1743089400387543,-1743089088964623,-1743089088976928,778,2
312427884,1743089401391904,-1743089088964288,-1743089088976877,530,2
313433438,1743089402397148,-1743089088964125,-1743089088976827,629,2
314438379,1743089403401929,-1743089088963991,-1743089088976775,877,2
315440149,1743089404403373,-1743089088963561,-1743089088976723,668,2
316442670,1743089405405192,-1743089088963192,-1743089088976669,1332,2
317448198,1743089406410906,-1743089088963143,-1743089088976615,863,2
318453484,1743089407416081,-1743089088963013,-1743089088976561,826,2
320458346,1743089409420334,-1743089088962351,-1743089088976450,719,2
321463229,1743089410425093,-1743089088962215,-1743089088976394,694,2
322468140,1743089411429710,-1743089088961957,-1743089088976337,766,2
323473515,1743089412434925,-1743089088961853,-1743089088976279,881,2
324478328,1743089413439288,-1743089088961334,-1743089088976221,743,2
325483497,1743089414444319,-1743089088961277,-1743089088976162,905,2
326488035,1743089415448750,-1743089088961023,-1743089088976102,609,2
327493487,1743089416453924,-1743089088960811,-1743089088976042,741,2
328494950,1743089417455165,-1743089088960436,-1743089088975980,435,2
330503214,1743089419462937,-1743089088960076,-1743089088975856,701,2
331508041,1743089420467535,-1743089088959765,-1743089088975793,534,2
332513489,1743089421472667,-1743089088959622,-1743089088975729,881,2
333518005,1743089422476986,-1743089088959340,-1743089088975665,712,2
334523327,1743089423482447,-1743089088959443,-1743089088975601,640,2
335527731,1743089424487252,-1743089088959782,-1743089088975538,516,2
336534279,1743089425493843,-1743089088960246,-1743089088975476,1359,2
337538492,1743089426498393,-1743089088960545,-1743089088975416,1282,2
338543702,1743089427504420,-1743089088961224,-1743089088975357,1004,2
339548381,1743089428509048,-1743089088961248,-1743089088975299,1154,2
340549555,1743089429510948,-1743089088961681,-1743089088975242,562,2
341553566,1743089430515417,-1743089088962228,-1743089088975187,748,2
342558044,1743089431520241,-1743089088962498,-1743089088975132,595,2
343563450,1743089432526021,-1743089088962903,-1743089088975079,656,2
344567685,1743089433530599,-1743089088963121,-1743089088975026,408,2
345573266,1743089434536531,-1743089088963510,-1743089088974975,482,2
346577610,1743089435541184,-1743089088963797,-1743089088974925,440,2
347581677,1743089436545594,-1743089088964108,-1743089088974875,377,2
348584668,1743089437548255,-1743089088964180,-1743089088974826,1181,2
349587580,1743089438552136,-1743089088964727,-1743089088974779,334,2
350593188,1743089439558005,-1743089088965032,-1743089088974732,423,2
351597868,1743089440562992,-1743089088965337,-1743089088974686,415,2
352603577,1743089441568945,-1743089088965812,-1743089088974642,880,2
353607838,1743089442573428,-1743089088965821,-1743089088974598,457,2
354611487,1743089443577428,-1743089088966102,-1743089088974555,316,2
355613224,1743089444579400,-1743089088966410,-1743089088974513,460,2
356617793,1743089445584251,-1743089088966695,-1743089088974472,466,2
357623670,1743089446590327,-1743089088967027,-1743089088974432,734,2
358627706,1743089447594627,-1743089088967092,-1743089088974392,337,2
359633447,1743089448600487,-1743089088967332,-1743089088974353,577,2
