timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
200446730,-0.0010965456,-0.0037051537,-0.0074490597,5000,0,-0.0975663,0.55339265,-9.791378,5000,0,0,1,1
200451731,-0.0019505816,-0.0030105745,-0.008180363,5001,0,0.042166732,0.51751196,-9.839212,5001,0,0,1,1
200456730,-0.007966533,-0.0024049054,-0.006804374,4999,0,-0.058847375,0.016967485,-9.724777,4999,0,0,1,1
200461729,-0.008992016,-0.0010436196,-0.0057623712,4999,0,-0.11037966,0.14828095,-9.846959,4999,0,0,1,1
200466730,-0.0042508775,0.0003509856,0.00056790595,5001,0,-0.46418512,-0.1074259,-9.828358,5001,0,0,1,1
200471730,-0.004922438,0.0006960126,0.006185309,5000,0,-0.34901202,0.34615904,-9.934267,5000,0,0,1,1
200476729,-0.003015889,-0.0015919309,0.01076646,4999,0,-0.01656814,0.8833941,-9.781106,4999,0,0,1,1
200481729,-0.0018044543,0.0017600312,0.010290765,5000,0,0.18231663,0.5536622,-9.649227,5000,0,0,1,1
200486730,-0.008466747,-0.004145828,0.012761525,5001,0,-0.16731961,-0.26549822,-9.972259,5001,0,0,1,1
200491730,-0.006674557,-0.0015281865,0.012316338,5000,0,-0.091636114,0.8718996,-9.871914,5000,0,0,1,1
200496753,-0.0012197252,-0.003928053,0.0033393234,5023,0,-0.058631066,0.24482068,-9.854315,5023,0,0,1,1
200501730,-0.0062584,-0.0028077029,0.0030479832,4977,0,-0.014445998,0.10637866,-9.676141,4977,0,0,1,1
200506730,-0.0051637287,-0.0022361237,-0.0049631037,5000,0,-0.13273226,0.32089555,-10.05524,5000,0,0,1,1
200511730,-0.009949399,0.0015010484,-0.007481811,5000,0,0.06935948,0.26941484,-9.644071,5000,0,0,1,1
200516732,-0.0048428965,0.00057527045,-0.012700751,5002,0,-0.25465265,0.7122506,-9.895017,5002,0,0,1,1
200521729,-0.004832611,0.0056185443,-0.00969335,4997,0,-0.15565681,0.003404256,-9.752311,4997,0,0,1,1
200526730,-0.0003713565,0.00047521738,-0.008389041,5001,0,0.058623552,0.38951927,-9.863668,5001,0,0,1,1
200531729,-0.0013679545,-0.0003182512,-0.0036963888,4999,0,-0.37115172,0.2619864,-9.961399,4999,0,0,1,1
200536729,-0.00993978,0.0033876123,0.0061634746,5000,0,0.22200958,0.15838873,-9.666443,5000,0,0,1,1
200541729,-0.004876294,-0.0050485707,0.0033260079,5000,0,-0.082121044,0.36910954,-9.942004,5000,0,0,1,1
200546730,-0.0029774131,-0.0027100532,0.008847399,5001,0,-0.27652788,0.39140433,-9.739587,5001,0,0,1,1
200551729,-0.0043564113,-0.0056241862,0.007347477,4999,0,0.045016706,0.32704422,-9.751016,4999,0,0,1,1
200556730,-0.0034915293,-0.0074821142,0.010194993,5001,0,-0.03602623,-0.0848653,-9.855854,5001,0,0,1,1
200561729,-0.009146858,-0.0033105111,0.007903414,4999,0,-0.23669226,0.8776905,-9.791378,4999,0,0,1,1
200566730,-0.008306639,-0.0009002999,0.0033115344,5001,0,-0.010991685,0.31836295,-9.900773,5001,0,0,1,1
200571730,-0.002896998,0.0012426844,0.00024077353,5000,0,-0.23218088,0.4194627,-9.759411,5000,0,0,1,1
200576730,-0.007248405,0.0021047993,-6.099511e-05,5000,0,0.06839086,-0.04060754,-9.669961,5000,0,0,1,1
200581730,-0.008297233,0.0045591258,0.0012061204,5000,0,0.009597487,0.37791318,-9.9634,5000,0,0,1,1
200586730,-0.00560907,-0.005179137,-0.004867925,5000,0,-0.06870864,0.35566655,-9.744504,5000,0,0,1,1
200591729,-0.0010044632,0.0030759387,-0.0031905656,4999,0,-0.09047492,0.2529479,-9.911996,4999,0,0,1,1
200596730,2.1730551e-05,-0.0107925525,-0.008036361,5001,0,0.025599414,0.25491992,-9.744335,5001,0,0,1,1
200601729,-0.0013950849,-0.003254769,-0.004341124,4999,0,-0.42693776,0.33225328,-9.920191,4999,0,0,1,1
200606729,-0.0053671678,-0.0024012015,-0.00615572,5000,0,0.10233037,0.13574816,-9.764618,5000,0,0,1,1
200611729,-0.0029216055,0.0013995502,-0.0026627772,5000,0,-0.35452932,0.69153017,-9.800204,5000,0,0,1,1
200616729,-0.0029356265,0.0037207282,0.0030418097,5000,0,0.010759506,0.5067884,-9.8162985,5000,0,0,1,1
200621730,-0.008629248,0.0021254781,0.003792518,5001,0,-0.085826576,0.065955535,-9.938445,5001,0,0,1,1
200626730,-0.0056158034,0.0010793286,0.009637241,5000,0,-0.0030436441,-0.014479161,-9.685989,5000,0,0,1,1
200631730,-0.0097329775,0.00519389,0.011777969,5000,0,-0.0716937,0.65228987,-9.80157,5000,0,0,1,1
200636730,-0.0047049,-0.0015156142,0.009232885,5000,0,-0.31623495,0.6805646,-9.88364,5000,0,0,1,1
200641730,-0.0034744244,-0.0043998337,0.008352609,5000,0,0.12415617,0.42300746,-9.871668,5000,0,0,1,1
200646730,0.001968687,-0.006648285,0.0016760072,5000,0,0.06886503,0.026803484,-9.787783,5000,0,0,1,1
200651729,-0.006357396,-0.005558548,-0.0014840242,4999,0,-0.18269591,-0.044831112,-9.923954,4999,0,0,1,1
200656732,-0.011235818,-0.0051903264,-0.008040037,5003,0,0.05875531,0.26511604,-9.760975,5003,0,0,1,1
200661730,-0.005224298,-0.00021230405,-0.009490601,4998,0,-0.29678398,0.4299997,-9.691628,4998,0,0,1,1
