timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
198437101,0,0,0,0,0
198942881,0,0,0,0,0
199448915,0,0,0,0,0
199954902,0,0,0,0,0
200458903,0,0,0,0,0
200966022,0,0,0,0,0
201472622,0,0,0,0,0
201978880,0,0,0,0,0
202486014,0,0,0,0,0
202992506,0,0,0,0,0
203497880,0,0,0,0,0
204004066,0,0,0,0,0
204510903,0,0,0,0,0
205018894,0,0,0,0,0
205524880,0,0,0,0,0
206030890,0,0,0,0,0
207042881,0,0,0,0,0
207548904,0,0,0,0,0
208054903,0,0,0,0,0
208560937,0,0,0,0,0
209067254,0,0,0,0,0
209572903,0,0,0,0,0
210078880,0,0,0,0,0
210584881,0,0,0,0,0
211597076,0,0,0,0,0
212102881,0,0,0,0,0
212609880,0,0,0,0,0
213624061,0,0,0,0,0
214129881,0,0,0,0,0
214636381,0,0,0,0,0
215142883,0,0,0,0,0
215648880,0,0,0,0,0
216154909,0,0,0,0,0
216660885,0,0,0,0,0
217167213,0,0,0,0,0
217672880,0,0,0,0,0
218178884,0,0,0,0,0
218684882,0,0,0,0,0
219190901,0,0,0,0,0
219697103,0,0,0,0,0
220202881,0,0,0,0,0
220708879,0,0,0,0,0
221214895,0,0,0,0,0
221720895,0,0,0,0,0
222227182,0,0,0,0,0
222732882,0,0,0,0,0
223238900,0,0,0,0,0
223744881,0,0,0,0,0
224250919,0,0,0,0,0
224757133,0,0,0,0,0
225262900,0,0,0,0,0
225768880,0,0,0,0,0
226274880,0,0,0,0,0
226780880,0,0,0,0,0
227792880,0,0,0,0,0
228298881,0,0,0,0,0
228804881,0,0,0,0,0
229310879,0,0,0,0,0
229817073,0,0,0,0,0
230322881,0,0,0,0,0
230828879,0,0,0,0,0
231334881,0,0,0,0,0
231840888,0,0,0,0,0
232347182,0,0,0,0,0
232852880,0,0,0,0,0
233358880,0,0,0,0,0
233864881,0,0,0,0,0
234370924,0,0,0,0,0
234877088,0,0,0,0,0
235382881,0,0,0,0,0
235888879,0,0,0,0,0
236394879,0,0,0,0,0
236900880,0,0,0,0,0
237407183,0,0,0,0,0
237912880,0,0,0,0,0
238419880,0,0,0,0,0
238926042,0,0,0,0,0
239432692,0,0,0,0,0
239937880,0,0,0,0,0
240444080,0,0,0,0,0
240949903,0,0,0,0,0
241456100,0,0,0,0,0
241962556,0,0,0,0,0
242973993,0,0,0,0,0
243479881,0,0,0,0,0
243986316,0,0,0,0,0
244492641,0,0,0,0,0
244997880,0,0,0,0,0
246009880,0,0,0,0,0
246516104,0,0,0,0,0
247022461,0,0,0,0,0
248034395,0,0,0,0,0
248539881,0,0,0,0,0
249046016,0,0,0,0,0
249552502,0,0,0,0,0
250057880,0,0,0,0,0
250564287,0,0,0,0,0
251069880,0,0,0,0,0
251576122,0,0,0,0,0
252082880,0,0,0,0,0
252588879,0,0,0,0,0
253094883,0,0,0,0,0
253600879,0,0,0,0,0
254107167,0,0,0,0,0
254612881,0,0,0,0,0
255119904,0,0,0,0,0
255626065,0,0,0,0,0
256132429,0,0,0,0,0
258156165,0,0,0,0,0
258662447,0,0,0,0,0
259167880,0,0,0,0,0
259674881,0,0,0,0,0
260180888,0,0,0,0,0
260687150,0,0,0,0,0
261192894,0,0,0,0,0
261698879,0,0,0,0,0
262204882,0,0,0,0,0
262710896,0,0,0,0,0
263217899,0,0,0,0,0
263724442,0,0,0,0,0
264229899,0,0,0,0,0
264736357,0,0,0,0,0
265242502,0,0,0,0,0
265747900,0,0,0,0,0
266254009,0,0,0,0,0
266759901,0,0,0,0,0
267266038,0,0,0,0,0
267772917,0,0,0,0,0
268278899,0,0,0,0,0
268784933,0,0,0,0,0
269290899,0,0,0,0,0
269797127,0,0,0,0,0
270302921,0,0,0,0,0
270808899,0,0,0,0,0
271314899,0,0,0,0,0
271820898,0,0,0,0,0
272327171,0,0,0,0,0
272832899,0,0,0,0,0
273338899,0,0,0,0,0
273844900,0,0,0,0,0
274350915,0,0,0,0,0
274857095,0,0,0,0,0
275362901,0,0,0,0,0
275868917,0,0,0,0,0
276374932,0,0,0,0,0
276880908,0,0,0,0,0
277387262,0,0,0,0,0
277892923,0,0,0,0,0
278398900,0,0,0,0,0
278904898,0,0,0,0,0
279410900,0,0,0,0,0
280422921,0,0,0,0,0
280928899,0,0,0,0,0
281434934,0,0,0,0,0
281940899,0,0,0,0,0
282447209,0,0,0,0,0
282952923,0,0,0,0,0
283458899,0,0,0,0,0
283964901,0,0,0,0,0
284470911,0,0,0,0,0
