timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
200934245,200739871,0.01652715,0.036139116,0.004457701,1,0,0,0,0,0,0,0,0,0,0
201934170,201742066,0.015704455,0.031915806,0.0038370918,1,0,0,0,0,0,0,0,0,0,0
202934159,202742091,0.014896536,0.035226926,0.0049424986,1,0,0,0,0,0,0,0,0,0,0
203934160,203742071,0.013637252,0.03659019,0.005929724,1,0,0,0,0,0,0,0,0,0,0
204934150,204742083,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
205944143,205743861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
206934156,206742861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
207934170,207741102,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
208934151,208741118,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
209934152,209742861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
211934191,211742862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
212934150,212741076,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
213934203,213742860,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
214934169,214739861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
215934193,215739862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
216934158,216737518,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
217934160,217741095,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
218934152,218739862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
219934158,219741103,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
220934180,220742861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
221944172,221743862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
222934160,222742081,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
223934150,223742867,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
224934155,224742861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
225934187,225739863,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
226934158,226742081,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
227934161,227742860,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
228934173,228742868,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
229944174,229743862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
230934152,230742862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
231944142,231743863,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
232934156,232741081,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
234934151,234742081,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
236934156,236742082,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
237934151,237742071,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
238944142,238743867,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
239944141,239743861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
240934167,240742861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
241944146,241743868,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
242934151,242742861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
