timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
200063192,200062998,-0.0864558,0.3307339,-9.801666
200068136,200067982,-0.08911573,0.33663142,-9.797677
200213133,200212981,-0.10157985,0.33147177,-9.831229
200263186,200263001,-0.114369296,0.28441542,-9.791437
200313145,200312983,-0.13363528,0.30107394,-9.762223
200413133,200412980,-0.12890792,0.36931983,-9.784776
200463158,200463001,-0.060773168,0.2068829,-9.771053
200513137,200512979,-0.06741555,0.27357885,-9.770252
200563160,200563001,-0.083358854,0.40309912,-9.744581
200613137,200612983,-0.1516257,0.4174259,-9.781615
200663159,200663003,-0.06695039,0.23229493,-9.735605
200713138,200712981,-0.06556117,0.32682422,-9.792094
200763163,200763001,-0.048217624,0.33228943,-9.779495
200813135,200812981,-0.06278171,0.36323163,-9.770771
200863164,200863004,-0.07705714,0.38895908,-9.790883
200913138,200912985,-0.109337464,0.3689917,-9.808058
200963142,200962982,-0.10369196,0.32464105,-9.773982
201013131,201012980,-0.10899227,0.26633197,-9.857059
201063169,201062997,-0.1282828,0.31954023,-9.736749
201113145,201112979,-0.07173493,0.26287267,-9.772342
201163164,201162998,-0.097110815,0.40635973,-9.805334
201213143,201212979,-0.087544836,0.3176017,-9.793444
201263186,201262998,-0.055077977,0.30930102,-9.78552
201313144,201312979,-0.039931882,0.27753308,-9.808789
201363180,201362997,-0.06876431,0.2472569,-9.748188
201413143,201412979,-0.13119885,0.35207263,-9.774928
201463162,201462998,-0.11563478,0.369552,-9.770957
201513143,201512978,-0.037178732,0.36457896,-9.788669
201563167,201562997,-0.06475925,0.38224012,-9.784246
201613143,201612979,-0.062150534,0.27424425,-9.731519
201663174,201662998,-0.10965772,0.2888463,-9.741682
201713153,201712980,-0.1663314,0.3729442,-9.718186
201763161,201762997,-0.08214606,0.4482728,-9.775122
201813144,201812979,0.0058907447,0.39960006,-9.811699
201863185,201862999,-0.09960276,0.28364277,-9.815758
201913154,201912979,-0.036506474,0.3282855,-9.795045
201963168,201962998,-0.11325408,0.20077714,-9.730783
202013145,202012980,-0.09007906,0.35562056,-9.749233
202063154,202062997,-0.07237219,0.40479502,-9.820553
202113127,202112979,-0.07791278,0.35161513,-9.789042
202163149,202163001,-0.0966678,0.27513576,-9.805398
202213128,202212979,-0.064694814,0.2893197,-9.75911
202263147,202262998,-0.096528225,0.3072244,-9.705057
202313128,202312980,-0.06411524,0.359431,-9.817944
202363158,202362997,-0.118421584,0.43861228,-9.809894
202413136,202412980,-0.12586594,0.26710787,-9.826448
202463146,202462997,-0.07042806,0.30096033,-9.746312
202513133,202512980,-0.124103226,0.2563154,-9.7464485
202563149,202562998,-0.10826722,0.3508076,-9.785445
202613126,202612979,-0.14261045,0.30905902,-9.789567
202663185,202662998,-0.10170253,0.34212458,-9.7851305
202713131,202712979,-0.14684662,0.32649228,-9.830349
202763152,202762997,-0.08208429,0.27726546,-9.778134
202813127,202812979,-0.022161271,0.35829654,-9.787102
202863152,202862999,-0.055722542,0.4474747,-9.779326
202913127,202912979,-0.118828066,0.36868578,-9.807085
202963150,202962997,-0.09457475,0.3080419,-9.809192
203013127,203012980,-0.096101865,0.22288015,-9.755384
203063194,203062998,-0.047301862,0.3620165,-9.7898655
203113152,203112980,-0.05051617,0.4026268,-9.798332
203163176,203162998,-0.08675648,0.31412396,-9.818111
203213160,203212979,-0.072675794,0.29266915,-9.768009
203263164,203262997,-0.08123416,0.22627783,-9.655632
203313165,203312979,-0.0830266,0.23893398,-9.763273
203363166,203362997,-0.06416833,0.43829736,-9.843408
203413144,203412980,-0.120482765,0.30153927,-9.779526
203463166,203462997,-0.003113393,0.36251652,-9.784182
203513144,203512979,-0.09028405,0.32828385,-9.797005
203563166,203562997,-0.08884739,0.34886768,-9.791075
203613147,203612979,-0.114212334,0.21845981,-9.815374
203663185,203663000,0.0023354436,0.42632535,-9.7875595
203713143,203712979,-0.29317856,0.5428321,-9.813597
203763175,203762997,-0.061929956,0.25567073,-9.808288
203813145,203812979,-0.06889319,0.31297794,-9.744256
203863162,203862997,-0.19729987,0.41173613,-9.66546
203913149,203912979,-0.030244062,0.13444728,-9.711927
203963194,203962997,-0.09287159,0.24292989,-9.7844305
204013145,204012980,-0.18336862,0.3717408,-9.791317
204063098,204062997,0.04189467,0.26598716,-9.816978
204113128,204112979,-0.023590349,0.14301294,-9.79661
204163149,204162998,-0.006531186,0.10188488,-9.722156
204213127,204212979,-0.27797002,0.79067075,-9.843328
204263199,204263027,-0.038737975,0.19502717,-9.728324
204313128,204312979,0.022524744,0.30740988,-9.817084
204363147,204362997,0.017758895,0.052215766,-9.633442
204413130,204412980,-0.095925055,0.061743185,-10.297958
204463155,204462998,-0.30869755,0.8370373,-10.079612
204513128,204512979,0.07870487,0.21847096,-9.892013
204563152,204562997,-0.07223866,0.3765371,-9.966509
204613129,204612979,-0.0043007964,0.32100832,-9.952127
204663160,204662998,-0.3176935,0.6266588,-9.829896
204713128,204712980,-0.20520997,0.1343596,-9.312487
204763152,204762997,0.121557,0.37967524,-10.121663
204813130,204812980,-0.39031306,0.22811666,-9.742525
204913128,204912979,0.040100776,0.21807262,-9.812834
204963158,204962998,0.13110271,0.4043585,-10.125628
205013127,205012979,-0.14110006,0.12711276,-9.682838
205063150,205062999,-0.07712908,0.008860236,-9.744348
205113144,205112979,0.020550905,0.7357354,-9.872471
205163195,205162998,0.4557362,0.022821495,-9.693604
205213144,205212979,-0.3036209,0.13707666,-9.50496
205263181,205262997,0.12514222,0.68083245,-9.908387
205313147,205312980,-0.1775824,0.9479166,-9.743487
205363184,205362998,-0.2629024,0.46297362,-9.87112
205413144,205412980,-0.31198996,0.49005237,-10.023486
205463162,205462997,-0.060815405,0.6752214,-10.216257
205513145,205512979,-0.27472934,0.71714354,-10.128331
205563170,205562997,-0.21607366,0.20682155,-10.017207
205613145,205612979,-0.13110559,-0.34797692,-10.530719
205663186,205663000,0.20568764,-0.114335,-10.348681
205713144,205712979,0.069887936,0.034382466,-10.218813
205763164,205762997,-0.03275994,-0.21818617,-10.599541
205813145,205812979,0.67094517,0.003704246,-10.640264
205863176,205862997,0.083262175,-0.14819954,-10.379398
205913145,205912979,-0.049585614,-0.08655623,-9.956513
205963165,205962999,-0.18430726,-0.14350478,-10.030749
206013159,206012979,-0.04847832,0.11103084,-10.076878
206063186,206062997,-0.06539595,0.009921634,-10.2848
206113130,206112980,-0.16603953,0.16928487,-9.984576
206163146,206162998,-0.08763981,0.09791829,-10.375851
206213127,206212979,-0.105521336,0.22188447,-10.135678
206263152,206262997,0.16642657,0.1965347,-10.051726
206313131,206312980,-0.27992335,0.0062891296,-10.818268
206513128,206512980,-0.17785773,0.22843274,-9.796466
206663154,206662998,0.22158396,-0.2334739,-9.917656
206713129,206712980,0.094261885,-0.018991616,-10.119546
206763148,206762997,0.020576978,-0.1401494,-10.474817
206813130,206812980,0.013376583,-0.004005283,-9.893557
206863146,206862997,-0.1852216,0.42295727,-10.521355
206913133,206912980,-0.083358124,-0.0016407807,-9.763241
206963153,206962998,0.030253403,0.16839837,-10.099008
207013127,207012979,0.12403998,-0.08332213,-10.314686
207063149,207062997,-0.13670152,0.086755715,-10.018409
207113128,207112979,-0.039469082,0.38150734,-10.413886
207163192,207162998,0.166436,0.2337097,-10.099603
207213145,207212979,0.13563195,-0.10937507,-10.210171
207263184,207262998,0.087532595,0.011423724,-10.303075
207313147,207312980,0.107706755,-0.1629437,-9.981451
207363169,207362997,0.045693476,0.25557697,-9.819045
207413146,207412980,-0.051652506,-0.11843652,-10.089576
207463166,207462997,0.0062274043,0.0136767905,-10.14845
207513144,207512979,0.09390109,-0.073219955,-10.198074
207563212,207563029,0.049306825,0.069953315,-10.241965
207613144,207612979,-0.18001278,-0.24439687,-10.011792
207663173,207662998,-0.060166143,-0.043092154,-10.140555
207713143,207712979,-0.33279613,0.07444265,-10.613761
207763183,207762997,-0.08034845,-0.27566487,-10.3445425
207813145,207812979,0.19383976,-0.21071716,-10.341925
207863198,207862999,-0.105556905,0.07390772,-10.341044
207913144,207912979,-0.14915876,0.059048552,-9.819699
207963168,207962998,-0.021023275,0.45350742,-10.040317
208013144,208012979,-0.0047986116,-0.3491023,-10.196076
208063190,208062997,0.039527286,-0.07727151,-10.378025
208113143,208112980,0.08385059,-0.09161826,-9.683662
208163146,208162997,-0.04729988,-0.22384712,-10.267172
208213128,208212980,0.15446173,0.20105264,-9.7428665
208263150,208262997,-0.19680259,0.13042423,-10.09102
208313129,208312979,-0.14953464,-0.28025407,-9.8514185
208363147,208362998,-0.222467,-0.109287545,-9.892691
208413127,208412979,0.1958078,-0.07700943,-10.141083
208463153,208462999,-0.021512413,-0.24954526,-9.538666
208513128,208512979,0.27131966,0.09146903,-10.3424225
208563153,208562997,-0.033330332,0.042636152,-9.461606
208613136,208612980,-0.031262085,-0.109690234,-10.339744
208663146,208662997,-0.0983155,-0.37888807,-9.453094
208713134,208712982,0.044987492,-0.38601133,-10.518841
208763147,208762998,0.19022135,0.066713825,-9.7799835
208813133,208812980,-0.05387083,-0.14586577,-10.133953
208863147,208862998,-0.10172539,-0.4397541,-10.270064
208913129,208912980,-0.27949548,-0.040221952,-9.728437
208963147,208962997,-0.021228218,-0.16926584,-10.343077
209013128,209012979,0.097091004,0.3793473,-9.797441
209063148,209062998,-0.28882495,-0.12678245,-10.186174
209113128,209112979,-0.13173035,-0.48328605,-10.176341
209163181,209162997,-0.2529727,-0.106802806,-9.995949
209213144,209212979,0.0380846,-0.15730678,-9.885375
209263187,209262998,-0.3980586,0.07281704,-10.30554
209313159,209312980,-0.2372699,0.1855748,-10.140321
209363162,209362997,-0.19523299,-0.17928399,-10.1125345
209413146,209412981,-0.40847805,0.31638616,-10.214745
209463167,209462998,-0.1741795,0.16457342,-9.943947
209513145,209512979,-0.073266976,0.094665535,-10.104959
209563186,209562999,-0.068782374,-0.05909794,-10.182821
209613148,209612979,-0.13225646,0.22588675,-10.205146
209663209,209663001,-0.08914125,0.05710426,-9.965451
209713145,209712980,-0.19875346,-0.35871783,-9.852131
209763165,209762997,-0.53828466,-0.14683647,-9.907833
209813163,209812979,-0.27156433,-0.15946019,-10.007749
209863186,209862997,-0.38406476,-0.25135484,-9.667783
209913144,209912979,-0.06219043,-0.2092205,-10.256521
209963190,209962997,-0.5082357,-0.0004546028,-9.568904
210013147,210012982,0.3381337,-0.085113615,-9.875598
