timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
200066997,3407898,3407898,3407890,3407882,0,0.06548527,0.034719534,0.038409196,0.0,3407898,3407898,3407890,3407882,0,0.0016469453,0.0018975466,0.0011088849,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
200072044,3407898,3407898,3407890,3407882,0,0.06581488,0.03517687,0.03860839,0.0,3407898,3407898,3407890,3407882,0,0.0016543224,0.001914506,0.0011099572,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
200266962,3407898,3407898,3407890,3407882,0,0.0666009,0.0366129,0.040251076,0.0,3407898,3407898,3407890,3407882,0,0.0015752354,0.0019244937,0.001196389,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
200466989,3407898,3407898,3407890,3407882,0,0.07572475,0.03858495,0.040276453,0.0,3407898,3407898,3407890,3407882,0,0.0016914095,0.001965269,0.0013954752,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
200666964,3407898,3407898,3407890,3407882,0,0.06003621,0.036286347,0.034267657,0.0,3407898,3407898,3407890,3407882,0,0.0017355026,0.001998852,0.0011830542,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
200866963,3407898,3407898,3407890,3407882,0,0.069847964,0.04114508,0.038115997,0.0,3407898,3407898,3407890,3407882,0,0.0016159285,0.0019013021,0.001253353,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
201066969,3407898,3407898,3407890,3407882,0,0.06687465,0.037413307,0.041918486,0.0,3407898,3407898,3407890,3407882,0,0.0018269499,0.0018946066,0.0012155372,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
201266938,3407898,3407898,3407890,3407882,0,0.06741611,0.041193727,0.047353398,0.0,3407898,3407898,3407890,3407882,0,0.0017026872,0.001805301,0.0012514762,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
201466955,3407898,3407898,3407890,3407882,0,0.05618977,0.038935717,0.03167585,0.0,3407898,3407898,3407890,3407882,0,0.0017239494,0.0017376245,0.0014860414,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
201666961,3407898,3407898,3407890,3407882,0,0.048645064,0.03416989,0.040608432,0.0,3407898,3407898,3407890,3407882,0,0.0018892967,0.0019323083,0.0011582266,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
