timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
200647357,46080.0,1.0,15536.523,0.0,74644,109,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201902559,46080.0,1.0,16165.185,0.0,75127,109,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202902621,46080.0,1.0,16012.905,0.0,75515,109,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203154244,46080.0,1.0,16012.905,0.0,75614,109,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204410025,46080.0,1.0,16151.568,0.0,76104,109,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205664465,46080.0,1.0,16166.039,0.0,76594,109,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206916527,46080.0,1.0,16203.675,0.0,77076,109,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207917229,46080.0,1.0,16152.422,0.0,77465,109,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208171063,46080.0,1.0,16152.422,0.0,77569,109,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209425107,46080.0,1.0,16011.131,0.0,78060,109,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
