timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality
217055380,217055348,-1,-46.0,0,0,0,1499,1502,1729,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,2000,2000,0,0,16,0,0,14,100
217555405,217555385,-1,-44.0,0,0,0,1500,1727,1729,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,2000,2000,0,0,16,0,0,14,100
218052428,218052389,-1,-48.0,0,0,0,1497,1910,1728,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,2000,2000,0,0,16,0,0,14,100
218553153,218553032,-1,-51.0,0,0,0,1499,1693,1717,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1990,1967,0,0,16,0,0,14,99
219055345,219055324,-1,-48.0,0,0,0,1499,1658,1695,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1990,2000,0,0,16,0,0,14,99
219563431,219555296,-1,-46.0,0,0,0,1499,1699,1655,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1990,2000,0,0,16,0,0,14,99
220064070,220055398,-1,-46.0,0,0,0,1499,1680,1657,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1969,2000,0,0,16,0,0,14,97
221055303,221055283,-1,-46.0,0,0,0,1500,1500,1658,1499,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1980,2000,0,0,16,0,0,14,98
221555314,221555284,-1,-45.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,1980,2000,0,0,16,0,0,14,98
222055221,222055199,-1,-46.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,2000,2000,0,0,16,0,0,14,100
222555460,222555440,-1,-47.0,0,0,0,1500,1500,1658,1500,1988,1000,1000,1000,1000,1000,1499,1500,1500,1000,2000,2000,0,0,16,0,0,14,100
