timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
217980804,3407882,3407882,0,0,0,0,0,0,0,0,800.00037,800.00037,6410.9927,6410.9927,7.169571,0.11151651,2.8755994e-07,-0.58982563,0.43517748,-10.297689,0.13724907,-0.73486674,0.022888554,905.3185,220.978,689.58704,0.15429452,0.12155209,0.040686954,23.856518,23.856518
218925802,3407882,3407882,0,0,0,0,0,0,0,0,800.00037,800.00037,6410.9814,6410.9814,6.9509773,0.110377096,7.369489e-08,-1.0778893,0.355929,-9.993721,-0.037478562,-0.018700253,-0.055623155,571.94714,343.67352,642.68774,0.1835871,0.18259399,0.023037823,23.826582,23.826582
219965803,3407882,3407882,0,0,0,0,0,0,0,0,800.00037,800.00037,6410.965,6410.965,6.0479064,0.103409514,8.0028116e-08,-1.2137349,0.24741474,-9.112735,-0.11099777,-0.14734867,-0.008408969,459.5086,120.91566,355.49475,0.13962801,0.14683089,0.014702962,23.836813,23.836813
220900803,3407882,3407882,0,0,0,0,0,0,0,0,800.00037,800.00037,6410.964,6410.964,6.178528,0.10253096,9.2058265e-08,-0.59200597,0.54849046,-9.616705,0.061948407,0.15187828,0.0104391165,362.2871,165.6562,314.69006,0.17127182,0.112742476,0.019979909,23.789963,23.789963
221940805,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.962,6410.962,5.297978,0.092608415,5.7758893e-08,-0.33665073,0.313029,-9.567794,0.06123303,-0.08418294,0.068464,480.8577,139.08017,299.35916,0.10304136,0.06251667,0.020324279,23.83643,23.83643
222990802,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.958,6410.958,3.9436617,0.066589005,2.943184e-08,-0.33577472,0.015582092,-9.681467,-0.11539677,-0.008020912,-0.0364788,95.23386,25.28099,113.8089,0.032526568,0.035391644,0.0017325301,23.82634,23.82634
223935809,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.944,6410.944,3.7798464,0.062644325,4.4444675e-08,-0.08506349,0.067435965,-9.639148,-0.11374758,-0.086229935,-0.05549807,93.52093,32.65435,176.0693,0.03683264,0.029403158,0.0055546113,23.809605,23.809605
224980804,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.9316,6410.9316,3.4945383,0.058674887,2.1504443e-08,-0.4025337,0.0028051268,-9.655109,0.07157585,-0.040284254,-0.031396613,120.97447,16.649242,104.58024,0.026119022,0.045025297,0.002943167,23.789219,23.789219
225925804,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.9243,6410.9243,3.3101668,0.05864681,3.3573105e-08,-0.35928214,-0.070906654,-9.919842,0.09364958,0.06886834,-0.026021084,62.50917,26.93258,87.971825,0.03505715,0.05867029,0.0051252325,23.786758,23.786758
226970800,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.9004,6410.9004,4.104978,0.07007913,4.4395776e-08,-0.13158153,-0.22000545,-9.562715,0.003947738,0.123278506,-0.08445378,128.8675,24.87012,104.55379,0.027605344,0.06781108,0.006151309,23.766647,23.766647
227915812,3407882,3407882,0,0,0,0,0,0,0,0,800.0003,800.0003,6410.9077,6410.9077,4.027364,0.077043496,4.000412e-08,-0.33804247,-0.3094182,-9.683789,0.072639965,-0.01762875,0.07111608,130.60843,70.87932,133.67899,0.068553105,0.054780982,0.0059739,23.76181,23.76181
