timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
200062278,199871728,171865803351,0.00013222951,0.0037293318,0.004633111,0,0.24058177,0.22751144,0.007125794,0.03180751,0.0113798,0.014566362,0.0,nan,0.0,0.0,3407898,3407898,6780433,466953,73.87309,73.66653,0.50984734,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
200072288,199881729,171865803351,0.00013729269,0.0035985305,0.0045433915,0,0.24118564,0.22790591,0.007125794,0.03180751,0.0113798,0.014566362,0.0,nan,0.0,0.0,3407898,3407898,6780433,466953,73.87309,73.66653,0.50984734,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
200262251,200071732,171865803351,0.00014651164,0.0024752435,0.003636582,0,0.24068022,0.22766276,0.0076944646,0.017211923,0.010777927,0.013815096,0.0,nan,0.0,0.0,3407898,3407898,6780433,466953,73.913704,73.66653,0.5107255,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
200462241,200271729,171865803351,0.00018045933,0.0025786532,0.004091965,0,0.24080215,0.22782236,0.014298196,0.027267616,0.009840711,0.012621645,0.0,nan,0.0,0.0,3407898,3407898,6780433,466953,73.74481,73.66653,0.5092353,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
200662506,200471730,171865803351,0.00032893158,0.0021736617,0.0032610304,0,0.24092352,0.22798124,0.02100918,0.027868088,0.011545821,0.018649865,0.0,nan,0.0,0.0,3407898,3407898,6780433,466953,73.58018,73.66653,0.5107499,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
200862238,200671729,171865803351,0.00027652728,0.0036404906,0.003768515,0,0.2410953,0.2281566,0.021112809,0.033490814,0.012176115,0.013905688,0.0,nan,0.0,0.0,3407898,3407898,6780433,466953,73.547485,73.66653,0.51032025,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
201062221,200871730,171865803351,0.00019032741,0.0021617413,0.0033103062,0,0.24123627,0.22784351,0.02816928,0.020132178,0.009961211,0.013621394,0.0,nan,0.0,0.0,3407898,3407898,6780433,466953,73.44085,73.66653,0.5104686,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
201262225,201071729,171865803351,0.00043930544,0.0040620007,0.005428506,0,0.24137594,0.22800976,0.0266116,0.037312783,0.011216632,0.015348387,0.0,nan,0.0,0.0,3407898,3407898,6780433,466953,73.47295,73.66653,0.5105702,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
201462182,201271729,171865803351,0.0003918803,0.0029595105,0.0052316845,0,0.24151427,0.22817142,0.017734116,0.029480215,0.008846594,0.01369275,0.0,nan,0.0,0.0,3407898,3407898,6780433,466953,73.507454,73.66653,0.5100579,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
201662487,201471728,171865803351,0.00030921103,0.002553839,0.007184082,0,0.24167436,0.22834031,0.015816454,0.032146614,0.009204571,0.011411086,0.0,nan,0.0,0.0,3407898,3407898,6780433,466953,73.613396,73.66653,0.5106698,0.5250894,0,0,895,3,2,3,2,2,0,0,0,0,0,0,0
