timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
292532214,292341729,0.15703374,-0.232977,0.04228449,0.42092133,-0.035830498,0.049459457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15122604,0.0,0.0,0.0,0.0,0.0,0.0,0.004866831,0.004866831,-0.00012924522,0.0002746582,-0.19690046,-0.029500455,-0.01786375,0.0,0.0,0.0,0.0,0.0,0.0
293032216,292841729,-0.18981946,-0.040651903,-0.13803549,0.43750894,-0.026330948,0.049459457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45480347,0.0,0.0,0.0,0.0,0.0,0.0,0.0026082443,0.0026082443,0.00024038553,0.0006759763,-0.12207269,-0.10549292,-0.011903763,0.0,0.0,0.0,0.0,0.0,0.0
293532243,293341729,-0.34499037,-0.2944907,-0.10960704,0.2880538,0.008710861,0.049459457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19714165,0.0,0.0,0.0,0.0,0.0,0.0,0.003474962,0.003474962,-0.0012852252,0.000269413,-0.28080052,-0.12655132,-0.04093522,0.0,0.0,0.0,0.0,0.0,0.0
294032227,293841729,-0.18923378,-0.38280624,-0.17458278,0.21217188,-0.15051365,0.049459457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24633408,0.0,0.0,0.0,0.0,0.0,0.0,0.0020144861,0.0020144861,-0.00033298135,0.0009623468,-0.11501872,-0.11730728,-0.016378403,0.0,0.0,0.0,0.0,0.0,0.0
294532213,294341729,-0.10949683,0.07143616,-0.043208852,0.17150116,-0.07234764,0.049459457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67624664,0.0,0.0,0.0,0.0,0.0,0.0,0.0025121297,0.0025121297,-0.0006792098,-0.0029099286,0.11364793,-0.050074786,-0.0061926246,0.0,0.0,0.0,0.0,0.0,0.0
295032191,294841732,-0.95349455,-0.010895789,-0.14156468,-0.2630484,-0.010798454,0.049459457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.50021553,0.0,0.0,0.0,0.0,0.0,0.0,0.00089166657,0.00089166657,0.0005406067,0.00077569485,-0.117969826,0.07045814,-0.011071324,0.0,0.0,0.0,0.0,0.0,0.0
295532207,295341729,-0.7444352,-0.12013103,-0.27287805,-0.46863723,0.06039238,0.049459457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.74175644,0.0,0.0,0.0,0.0,0.0,0.0,0.0015566007,0.0015566007,-0.0013474524,0.00038647652,0.12199568,0.019529441,-0.008073688,0.0,0.0,0.0,0.0,0.0,0.0
296032223,295841729,0.1246413,0.114419825,-0.32873407,-0.3973732,0.1441307,0.049459457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5938854,0.0,0.0,0.0,0.0,0.0,0.0,0.0023587807,0.0023587807,-0.0013767928,0.00030562282,0.1338432,0.10298405,-0.012511969,0.0,0.0,0.0,0.0,0.0,0.0
297032181,296841729,-1.5395187,0.36368442,-0.29404035,-0.8710966,0.10263252,0.049459457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06847572,0.0,0.0,0.0,0.0,0.0,0.0,0.0029633343,-0.0048181834,0.0013727844,0.0029633343,0.10133549,0.3508907,0.07623762,0.0,0.0,0.0,0.0,0.0,0.0
297532189,297341729,-1.4116325,0.016624331,-0.13689667,-1.4239845,0.19762897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85881233,0.0,0.0,0.0,0.0,0.0,0.0,0.0015886767,0.0015886767,-0.00022468902,0.0011792183,-0.20482482,0.16450661,0.035099506,0.0,0.0,0.0,0.0,0.0,0.0
298532161,298341728,-0.98222065,-0.015895367,-0.06321779,-1.9002266,0.14290237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36031723,0.0,0.0,0.0,0.0,0.0,0.0,0.00082795694,-8.873286e-05,0.00082795694,-0.0007196963,0.10795911,0.01570189,-0.018780112,0.0,0.0,0.0,0.0,0.0,0.0
299032218,298841729,-0.7963598,-0.18797596,-0.119881645,-2.1337743,0.101389885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6827202,0.0,0.0,0.0,0.0,0.0,0.0,0.0008235276,0.00077923085,-0.00074691325,0.0008235276,-0.18274194,0.18825762,0.014226258,0.0,0.0,0.0,0.0,0.0,0.0
299532234,299341729,-0.62122655,-0.08662645,-0.25771135,-2.2837763,0.06398201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09810257,0.0,0.0,0.0,0.0,0.0,0.0,0.0029303432,0.0018588372,-0.0012009814,0.0029303432,0.3389218,-0.09273251,-0.15350926,0.0,0.0,0.0,0.0,0.0,0.0
300032271,299841729,-0.5562389,-0.19031584,-0.24789456,-2.4564269,0.036239624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8299675,0.0,0.0,0.0,0.0,0.0,0.0,-0.00026303157,-0.00027851536,-0.00026303157,-0.004614383,-0.3511486,-0.24406424,-0.052153766,0.0,0.0,0.0,0.0,0.0,0.0
