timestamp,timestamp_sample,latitude_deg,longitude_deg,altitude_msl_m,altitude_ellipsoid_m,time_utc_usec,device_id,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
219954861,0,60.187685599999995,24.8324568,4.471,22.164,1743089308899974,11141125,0.305,0.2242905,1.1340001,1.835,0.69,1.02,63,9,1.35,-0.505,-1.2520001,-0.35300002,4.329224,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
220957075,0,60.1876816,24.8324367,4.666,22.359,1743089309899975,11141125,0.26700002,0.2913176,1.139,1.8340001,0.69,1.02,59,14,0.98200005,-0.404,-0.896,-0.24300002,4.288789,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
221958866,0,60.187680099999994,24.8324291,4.894,22.587,1743089310899975,11141125,0.24100001,1.0888798,1.1340001,1.8160001,0.69,1.02,55,9,0.24000001,-0.010000001,-0.24000001,-0.22700001,4.413919,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
222957861,0,60.18768,24.8324274,5.163,22.857,1743089311899975,11141125,0.238,1.7538457,1.1290001,1.7990001,0.69,1.02,63,14,0.149,-0.021000002,-0.147,-0.24000001,4.413919,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
223957065,0,60.1876781,24.8324258,5.4910000000000005,23.184,1743089312899975,11141125,0.23700002,1.4382263,1.126,1.7850001,0.69,1.02,63,18,0.157,-0.14400001,-0.063,-0.27,4.007178,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
224957862,0,60.1876787,24.8324259,5.798,23.491,1743089313899976,11141125,0.314,0.90895206,1.126,1.7870001,0.69,1.02,63,14,0.294,0.201,0.215,-0.279,4.007178,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
225956095,0,60.1876791,24.8324262,6.139,23.832,1743089314899976,11141125,0.27,3.1415925,1.1270001,1.7820001,0.69,1.02,63,20,0.068,0.067,0.007,-0.22500001,4.007178,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
226957077,0,60.1876782,24.8324282,6.434,24.128,1743089315899976,11141125,0.252,3.1415925,1.13,1.7810001,0.69,1.02,63,14,0.093,-0.027,0.089,-0.27,4.007178,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
227957859,0,60.1876773,24.8324279,6.66,24.353,1743089316899977,11141125,0.24400002,1.1696993,1.126,1.7650001,0.69,1.02,64,13,0.186,-0.142,-0.120000005,-0.25300002,4.007178,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
228958861,0,60.187678299999995,24.8324249,6.929,24.622,1743089317899977,11141125,0.21800001,0.9399633,1.12,1.7490001,0.69,1.02,64,21,0.286,0.087000005,-0.273,-0.24100001,5.2410316,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
229957860,0,60.1876786,24.8324227,7.184,24.877,1743089318899977,11141125,0.22100002,1.5858407,1.116,1.7350001,0.69,1.02,64,14,0.16700001,0.037,-0.163,-0.28500003,5.2410316,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
230958861,0,60.1876788,24.8324225,7.429,25.122,1743089319899977,11141125,0.215,3.1415925,1.1110001,1.7220001,0.69,1.02,64,21,0.066,-0.027,0.060000002,-0.263,5.2410316,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
231958860,0,60.1876794,24.832423,7.735,25.429000000000002,1743089320899978,11141125,0.215,3.1415925,1.1060001,1.71,0.69,1.02,64,16,0.046000004,0.030000001,-0.035,-0.24700001,5.2410316,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
232956110,0,60.18768,24.832422899999997,8.073,25.766000000000002,1743089321899978,11141125,0.21400002,3.1415925,1.1010001,1.6980001,0.69,1.02,64,26,0.040000003,-0.006,-0.040000003,-0.26500002,5.2410316,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
234957079,0,60.187678299999995,24.8324255,8.583,26.277,1743089323899979,11141125,0.224,1.0451621,1.093,1.677,0.69,1.02,64,15,0.21400002,0.21300001,-0.018000001,-0.216,5.2410316,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
236957860,0,60.18768,24.8324227,9.061,26.755,1743089325899979,11141125,0.209,2.1132545,1.085,1.6550001,0.69,1.02,64,12,0.10300001,0.102000006,-0.008,-0.27100003,5.2410316,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
237957860,0,60.1876803,24.8324209,9.266,26.959,1743089326899979,11141125,0.22600001,1.438382,1.08,1.6430001,0.69,1.02,64,12,0.15,-0.078,-0.12900001,-0.25500003,5.2410316,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
238957862,0,60.187680099999994,24.832420799999998,9.498,27.191,1743089327899980,11141125,0.20600002,2.2889438,1.075,1.631,0.69,1.02,65,13,0.102000006,0.022000002,0.1,-0.216,5.2410316,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
239959861,0,60.1876835,24.8324222,9.217,26.91,1743089328899980,11141125,0.224,0.16817504,1.0710001,1.621,0.69,1.02,65,13,1.2550001,1.2550001,0.011000001,0.42000002,0.008790176,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
240957866,0,60.187697799999995,24.832421,8.837,26.53,1743089329899980,11141125,0.223,0.1392394,1.065,1.6100001,0.69,1.02,70,18,1.5150001,1.514,-0.071,0.257,6.2362103,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
241957865,0,60.1877071,24.832420199999998,8.757,26.45,1743089330899980,11141125,0.224,0.35259926,1.059,1.598,0.69,1.02,70,20,0.58900005,0.58900005,0.027,0.027,0.045004014,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
242957859,0,60.1877084,24.8324206,8.744,26.437,1743089331899981,11141125,0.20500001,3.1415925,1.054,1.5860001,0.69,1.02,70,24,0.068,-0.052,0.044000003,-0.022000002,0.09972514,0,nan,0.0,0.0,0.0,0,3,2,1,1,16,0,0,0
