timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
222050805,222050671,-0.5838084,0.01995663,0.005783501,0.8116256,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
222550810,222550671,-0.57488865,0.039529625,0.001559545,0.8172748,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
223050809,223050671,-0.56032497,0.026570119,-0.0065628807,0.82782066,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
223550812,223550671,-0.5716269,0.007912425,0.010841664,0.8204039,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
224050807,224050671,-0.57718724,-0.00011383317,0.0066792294,0.8165846,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
224550812,224550671,-0.5561103,0.012450042,0.00072468776,0.8310149,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
225050809,225050671,-0.5423993,0.019158203,0.006630791,0.83987623,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
226050811,226050672,-0.55868274,0.011151027,-0.0054127467,0.8292889,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
226550808,226550671,-0.56655675,0.00514096,0.0150564285,0.82386917,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
227050810,227050671,-0.5560722,-0.0014958357,0.025591185,0.83073854,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
227550808,227550671,-0.54135114,0.0062062773,0.021899177,0.84048855,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
228050810,228050671,-0.5506001,0.0027922194,0.032533165,0.8341304,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
228550807,228550671,-0.581655,0.0071641835,0.009385158,0.81334996,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
229050810,229050671,-0.56468964,0.012848959,-0.0060854,0.8251808,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
229550813,229550671,-0.5727556,0.0030674483,0.010399524,0.8196545,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
230050810,230050671,-0.5664876,0.00710081,0.006839539,0.8240114,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
230550811,230550671,-0.5589408,0.012412527,0.010377322,0.8290498,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
231050817,231050671,-0.56057996,0.0025522024,0.0038344387,0.8280875,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
231550811,231550671,-0.5560618,0.026234083,0.0069236406,0.8306981,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
232050811,232050671,-0.55846214,0.015867012,-0.00200251,0.8293758,0.9998223,-7.518711e-10,-7.540098e-10,-0.018850928,3
