timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
200552017,200551729,-0.45798662,0.011608458,-0.012982555,0.8887885,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201052009,201051730,-0.45811152,0.011673757,-0.013014696,0.8887228,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201551993,201551729,-0.4583053,0.011694225,-0.013105655,0.8886213,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
202052004,202051729,-0.45843348,0.0116878655,-0.013157351,0.8885546,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
202552034,202551729,-0.45855242,0.011691785,-0.013153782,0.8884931,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
203052045,203051731,-0.4587514,0.01169189,-0.013147554,0.8883904,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
203551992,203551729,-0.45897484,0.011670782,-0.013115889,0.88827586,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
204052017,204051730,-0.45908788,0.011665215,-0.013151867,0.888217,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
204552009,204551729,-0.45921087,0.01141065,-0.013146453,0.88815683,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
205052006,205051729,-0.4596101,0.010836566,-0.012935648,0.88796055,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
205552022,205551729,-0.46225652,-0.008751751,0.014401927,0.8865862,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
206052010,206051729,-0.4933069,0.002845557,-0.011148716,0.8697793,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
207052000,207051729,-0.52042234,0.009728044,-0.008027189,0.8538159,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
207552009,207551729,-0.5099338,0.0050696023,-0.011974148,0.8601154,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
208051981,208051729,-0.4783447,-0.008749302,0.015880968,0.87798506,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
208552035,208551729,-0.44777736,0.008805349,0.01709145,0.89393836,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
209052010,209051729,-0.45440754,0.05002446,0.030312285,0.8888715,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
209551997,209551730,-0.50088525,0.05819134,0.035358693,0.86283106,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
210051986,210051729,-0.54221076,0.06828818,0.039515942,0.83653027,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
210552005,210551729,-0.5449073,0.057032503,0.044793464,0.8353545,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
211551986,211551729,-0.56925344,0.010330855,0.01805218,0.821899,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
212051985,212051729,-0.55643225,0.011436732,0.0043044495,0.8308031,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
212552014,212551729,-0.55538845,-0.02009693,-0.012062519,0.83126074,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
213052005,213051729,-0.5563723,-0.06094754,-0.04783559,0.8273132,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
213552008,213551729,-0.5657321,-0.031817958,-0.040086374,0.82299936,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
214051991,214051729,-0.5721634,-0.024001442,-0.026904719,0.8193467,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
214552037,214551729,-0.5743258,0.004801187,-0.014324005,0.8184874,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
215052018,215051730,-0.5720836,0.017686112,-0.0068309223,0.8199763,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
215551992,215551732,-0.5652323,0.025616344,0.00054268277,0.8245338,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
216051983,216051729,-0.551442,0.05768376,0.0168255,0.8320464,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
216552013,216551729,-0.55107087,0.07911589,0.03323765,0.8300342,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
217052002,217051729,-0.55710524,0.01405092,0.002516682,0.8303192,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
217552011,217551730,-0.56290406,0.021704087,-0.00034558625,0.82623714,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
218051984,218051729,-0.55877054,0.1581407,0.105958454,0.8071802,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
218552030,218551729,-0.5596689,0.07699149,0.03467255,0.8244033,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
219052001,219051729,-0.55358654,0.022567907,0.00036735425,0.8324858,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
219551986,219551729,-0.5533745,0.04260736,0.023267493,0.8315167,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
220051993,220051729,-0.5559934,0.057893854,0.017950062,0.8289738,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
221052007,221051731,-0.55671036,-0.0009681476,-0.019259991,0.8304829,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
221551982,221551729,-0.5725837,0.0048342664,-0.017099822,0.81965375,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
222051961,222051730,-0.58043534,0.01642755,0.0059779347,0.81411874,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
222552007,222551730,-0.5722552,0.035899438,0.0014470824,0.8192882,0.9999127,-2.4432174e-09,-2.5613414e-09,-0.013220891,3
