timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
201010002,201009919,3407890,1.5957354,0.047884032,-11.240178,22.705315,0,0,0,0,8
202010002,202009919,3407890,2.8293478,1.8834137,-7.756615,22.463768,0,0,0,0,8
203010019,203009929,3407890,1.0379529,0.7169304,-9.180633,22.77241,0,0,0,0,9
204010002,204009919,3407890,2.2343888,1.8836381,-8.418612,22.780798,0,0,0,0,8
205009999,205009918,3407890,1.8722657,-1.9207484,-8.583213,22.712862,0,0,0,0,8
206009999,206009918,3407890,13.806763,3.5649664,-1.3784616,22.886473,0,0,0,0,8
207010001,207009919,3407890,2.700061,-0.076614454,-10.557831,22.841183,0,0,0,0,8
208010012,208009920,3407890,13.10852,3.835511,-9.6332035,22.846216,0,0,0,0,9
209010013,209009931,3407890,-11.120468,3.2034419,-19.205687,22.660025,0,0,0,0,8
210009999,210009919,3407890,18.347366,4.224569,-19.36969,22.735508,0,0,0,0,8
212009998,212009918,3407890,12.113463,10.887632,7.471705,22.735508,0,0,0,0,8
213010000,213009919,3407890,-28.497583,10.1544075,-11.08276,22.826086,0,0,0,0,8
214010003,214009921,3407890,6.619369,17.413628,-10.056246,22.712862,0,0,0,0,8
215010014,215009925,3407890,15.79907,6.362724,-3.5726807,22.584541,0,0,0,0,9
216010005,216009924,3407890,-8.222287,2.2918496,3.383007,22.886473,0,0,0,0,8
217010003,217009921,3407890,-41.51905,-16.758215,-28.669968,22.826086,0,0,0,0,8
218010009,218009923,3407890,-48.07497,-5.7269306,-11.621455,22.984602,0,0,0,0,8
219010006,219009924,3407890,30.492554,-2.7401638,-5.5383873,22.863829,0,0,0,0,8
220010009,220009919,3407890,-67.892105,-10.604185,-12.324818,22.805958,0,0,0,0,9
221010007,221009923,3407890,-12.525865,1.4610616,-0.2861071,22.826086,0,0,0,0,8
222009999,222009919,3407890,-16.627132,-16.102802,-4.4807487,22.765701,0,0,0,0,8
223009999,223009919,3407890,-12.232575,-6.915053,-5.466561,22.773249,0,0,0,0,8
224009999,224009918,3407890,-10.4728365,8.09719,-26.649858,22.675121,0,0,0,0,8
225010010,225009920,3407890,4.9618497,10.128005,-22.610308,22.624798,0,0,0,0,9
226010006,226009924,3407890,14.393941,-4.9105077,3.5823243,22.675121,0,0,0,0,8
227010002,227009919,3407890,19.990387,1.590947,-5.1200004,22.886473,0,0,0,0,8
228009999,228009919,3407890,-11.684901,-14.5884695,-12.424111,22.750605,0,0,0,0,8
229010000,229009919,3407890,-11.161768,-16.127941,-19.349937,22.916666,0,0,0,0,8
230009999,230009919,3407890,-4.5154643,2.480393,-8.14687,22.705315,0,0,0,0,8
231010000,231009919,3407890,-2.9658175,2.2469583,-12.238561,22.826086,0,0,0,0,8
232010010,232009920,3407890,0.5352371,0.6554792,-23.760057,22.712023,0,0,0,0,9
233009999,233009918,3407890,-9.336788,0.66139823,-12.13142,22.652475,0,0,0,0,8
235009999,235009918,3407890,-30.45185,-7.0263834,-19.33677,22.644928,0,0,0,0,8
237010007,237009919,3407890,15.805986,-6.412204,5.6604247,22.745571,0,0,0,0,9
238010000,238009919,3407890,-0.54647654,20.648193,5.046977,22.524155,0,0,0,0,8
